POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,33,44,77,16,4,3,14,5,31,55,10,63,7,18,99,22,6,47,9,11
LAP 1,16,44,77,4,3,5,14,55,7,31,18,10,99,63,22,47,6,9,11,
LAP 2,16,44,77,4,3,5,14,55,7,31,18,10,99,63,22,47,6,9,11,
LAP 3,16,44,77,4,3,5,14,55,7,31,18,10,99,63,22,47,6,9,11,
LAP 4,16,44,4,77,3,14,55,18,7,31,99,10,63,22,47,11,6,9,5,
LAP 5,16,44,4,77,3,55,14,18,31,7,99,10,63,11,22,6,47,9,5,
LAP 6,16,44,4,77,3,55,14,18,31,7,10,99,63,11,22,6,47,9,5,
LAP 7,16,44,4,77,3,55,14,18,31,7,10,99,11,63,22,6,47,5,9,
LAP 8,16,44,4,77,3,55,14,18,31,7,10,99,11,63,22,6,5,47,9,
LAP 9,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 10,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 11,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 12,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 13,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 14,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 15,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 16,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 17,16,44,4,77,3,55,14,18,31,7,10,11,99,63,22,6,5,47,9,
LAP 18,16,44,4,77,3,55,14,18,31,7,11,10,99,63,22,6,5,47,9,
LAP 19,16,44,4,77,3,55,14,18,31,10,99,22,6,7,11,63,5,47,9,
LAP 20,16,44,4,77,3,55,14,18,10,99,22,31,11,7,63,6,5,47,9,
LAP 21,16,44,4,77,55,14,18,10,3,99,22,31,11,7,63,6,5,47,9,
LAP 22,16,44,77,55,14,4,18,10,3,99,22,11,31,7,63,6,5,47,9,
LAP 23,16,44,55,77,4,14,18,10,3,99,22,11,31,7,63,6,5,47,9,
LAP 24,16,44,55,77,4,14,10,3,22,18,11,31,7,63,99,6,5,47,9,
LAP 25,16,44,55,77,4,10,3,22,14,18,11,31,7,63,99,6,5,9,47
LAP 26,16,44,55,77,4,10,3,22,14,18,11,31,7,63,99,6,5,47,9,
LAP 27,16,44,55,77,4,10,3,22,14,18,11,31,7,63,99,6,5,9,47
LAP 28,16,55,77,4,44,10,3,22,14,18,11,31,7,63,99,6,5,9,47
LAP 29,16,77,4,44,3,55,22,14,18,11,10,31,7,63,99,6,5,9,47
LAP 30,16,77,4,44,3,55,22,14,18,11,10,31,7,63,99,6,5,9,47
LAP 31,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 32,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 33,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 34,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 35,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 36,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 37,16,77,44,4,3,55,14,18,11,10,31,7,22,63,99,6,5,9,47
LAP 38,16,77,44,4,3,55,14,11,18,10,31,7,22,63,99,6,5,9,47
LAP 39,16,77,44,4,3,55,14,18,10,31,7,22,63,99,6,11,5,9,47
LAP 40,16,44,77,4,3,55,14,18,10,31,7,22,63,99,11,6,5,9,47
LAP 41,16,44,77,4,3,55,14,18,10,31,7,22,11,63,99,6,9,47,,
LAP 42,16,44,77,4,3,55,14,18,10,31,7,22,11,63,99,6,9,47,,
LAP 43,16,44,77,4,3,55,14,18,10,31,7,11,22,63,99,6,9,47,,
LAP 44,16,44,77,4,3,55,14,18,10,31,7,11,22,63,99,6,9,47,,
LAP 45,16,44,77,4,3,55,14,18,10,31,7,11,22,63,99,6,9,47,,
LAP 46,16,44,77,4,3,55,14,18,10,31,11,22,63,99,6,7,9,47,,
LAP 47,16,44,77,4,3,55,14,18,31,11,22,63,99,10,6,7,9,47,,
LAP 48,16,44,77,4,3,55,14,18,31,11,22,63,10,99,6,7,9,47,,
LAP 49,16,44,77,4,3,55,14,18,31,22,63,10,99,6,7,11,9,47,,
LAP 50,44,16,77,4,3,55,14,18,31,22,10,63,99,6,7,11,9,47,,
LAP 51,44,16,77,4,3,55,14,18,31,22,10,63,99,6,7,11,9,47,,,
LAP 52,44,16,77,4,3,55,14,18,31,22,10,,,,,,,,,,
