POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,33,44,77,10,16,55,99,31,14,3,63,18,4,22,5,88,47,9,6,11
LAP 1,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,47,11,6
LAP 2,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,47,11,6
LAP 3,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,47,11,6
LAP 4,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,11,6,47
LAP 5,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,11,6,47
LAP 6,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,11,6,47
LAP 7,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,11,6,47
LAP 8,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,6,11,47
LAP 9,33,44,77,10,16,55,14,31,3,99,63,18,4,22,5,88,9,6,11,47
LAP 10,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,5,9,6,11,47
LAP 11,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,9,6,11,5,47
LAP 12,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,9,6,11,5,47
LAP 13,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,6,9,11,5,47
LAP 14,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,6,9,11,5,47
LAP 15,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,6,11,9,5,47
LAP 16,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,6,11,9,5,47
LAP 17,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,6,11,9,5,47
LAP 18,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,11,6,9,5,47
LAP 19,33,44,77,10,16,55,14,31,3,99,63,18,4,22,88,11,6,9,5,47
LAP 20,33,44,77,10,16,55,14,31,3,99,63,18,4,22,11,88,6,9,5,47
LAP 21,33,77,44,10,16,55,14,31,3,99,63,18,4,22,11,88,6,9,5,47
LAP 22,77,33,44,10,16,55,14,31,3,99,63,18,4,22,11,88,6,9,5,47
LAP 23,77,33,44,10,16,55,14,31,3,99,63,18,4,11,22,88,6,9,5,47
LAP 24,77,33,44,16,10,55,14,31,3,99,63,18,4,11,22,88,5,9,6,47
LAP 25,77,33,44,16,55,14,10,31,3,99,63,18,4,11,22,88,5,9,6,47
LAP 26,77,33,44,16,55,14,10,31,3,99,63,18,4,11,22,88,5,9,6,47
LAP 27,77,33,44,16,55,14,10,31,3,99,63,4,11,18,22,88,5,9,6,47
LAP 28,77,33,44,16,55,10,14,31,3,4,11,22,88,99,63,18,5,9,6,47
LAP 29,77,33,44,16,55,10,14,31,3,4,11,22,88,99,63,18,5,9,6,47
LAP 30,33,77,44,16,55,10,14,31,3,4,11,22,88,99,63,18,5,6,9,47
LAP 31,33,44,77,16,55,10,14,31,4,11,22,3,99,88,63,18,5,6,9,47
LAP 32,33,44,77,16,10,14,55,4,11,31,3,99,63,88,18,5,22,6,9,47
LAP 33,33,44,77,16,10,14,55,4,11,31,3,63,18,99,88,5,22,6,9,47
LAP 34,33,44,77,16,10,55,4,11,14,31,3,63,18,88,5,22,6,99,9,47
LAP 35,33,44,77,10,16,55,4,11,14,31,3,63,18,88,5,22,6,99,9,47
LAP 36,33,44,77,10,16,55,4,11,14,31,3,63,18,88,22,6,5,99,9,47
LAP 37,33,44,77,10,16,55,4,11,14,31,3,63,18,88,22,6,5,99,9,47
LAP 38,33,44,77,10,16,55,4,11,14,31,3,63,18,88,22,6,5,99,9,47
LAP 39,33,44,77,10,16,55,4,11,14,31,3,63,18,22,88,6,5,99,9,47
LAP 40,33,44,77,10,16,55,4,11,14,31,3,63,18,22,6,5,99,88,9,47
LAP 41,33,44,77,10,16,55,4,11,14,31,3,63,18,22,6,5,99,88,9,47
LAP 42,33,44,77,10,16,55,11,4,14,31,3,63,18,22,6,5,99,88,47
LAP 43,33,44,77,10,16,55,11,14,31,3,4,63,18,22,6,5,99,88,47
LAP 44,33,44,77,10,16,55,11,14,31,3,4,63,18,22,6,99,5,88,47
LAP 45,33,44,77,10,16,55,11,14,31,4,3,63,18,22,6,99,88,5,47
LAP 46,33,44,77,10,16,55,11,14,31,4,3,63,18,22,6,99,88,5,47
LAP 47,33,44,77,10,16,55,14,31,11,4,3,63,18,22,6,99,88,5,47
LAP 48,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,22,88,5,47
LAP 49,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,88,5,47
LAP 50,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,88,5,47
LAP 51,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,88,5,47
LAP 52,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,88,5,47
LAP 53,33,44,77,10,16,55,14,31,4,3,11,63,18,6,99,88,5,47
LAP 54,33,44,77,10,16,55,14,31,4,11,3,63,18,6,99,88,5,47
LAP 55,33,44,77,10,16,55,14,31,4,11,3,63,18,6,99,5,88,47
LAP 56,33,44,77,10,16,55,14,31,4,11,3,63,18,6,99,5,88,47
LAP 57,33,44,77,10,16,55,14,31,4,11,3,63,18,6,99,5,88,47
LAP 58,33,44,77,10,16,55,14,31,4,11,3,63,18,99,6,5,88,47
LAP 59,33,44,77,10,16,55,14,31,4,11,3,63,18,99,5,6,88,47
LAP 60,33,44,77,10,16,55,14,31,4,11,3,63,18,99,5,6,88,47
LAP 61,33,44,77,10,16,55,14,31,4,11,3,63,18,99,5,6,88,47
LAP 62,33,44,77,10,16,55,14,31,4,11,3,63,18,5,99,6,88,47
LAP 63,33,44,77,10,16,55,14,31,4,11,3,63,18,5,99,6,88,47
LAP 64,33,44,77,10,16,55,14,31,4,11,3,63,18,5,99,6,88,47
LAP 65,33,44,77,10,16,55,14,31,11,4,3,63,18,5,99,6,88,47
LAP 66,33,44,77,10,16,55,14,31,11,4,3,63,18,5,99,6,88,47
LAP 67,33,44,77,10,16,55,14,31,11,4,3,63,18,5,99,6,88,47
LAP 68,33,44,77,10,16,55,14,31,11,4,3,18,63,5,99,6,88,47
LAP 69,33,44,77,10,16,55,14,11,31,4,3,18,5,99,6,88,63,47
LAP 70,33,44,77,10,16,55,14,11,31,4,3,18,5,99,88,6,,,,
LAP 71,33,44,77,10,16,14,55,11,31,4,3,,,,,,,,,
LAP 72,33,44,77,,,,,,,,,,,,,,,,,
