POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,33,44,77,11,55,10,16,4,14,3,31,5,99,63,47,6,7,9,18,22
LAP 1,44,33,77,11,55,10,16,14,3,4,31,5,99,7,6,18,63,22,47,9
LAP 2,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,6,22,63,47,9
LAP 3,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,6,22,63,47,9
LAP 4,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,22,6,63,9,47
LAP 5,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,22,6,63,9,47
LAP 6,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,22,6,63,9,47
LAP 7,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,22,6,63,9,47
LAP 8,44,33,77,11,55,10,16,14,3,4,5,31,99,7,18,22,6,63,9,47
LAP 9,44,33,77,11,55,10,16,14,3,4,5,31,99,18,7,22,6,63,9,47
LAP 10,44,33,77,11,55,10,16,14,3,4,5,31,99,18,7,22,6,63,9,47
LAP 11,44,33,77,11,55,10,16,3,4,14,5,31,99,18,7,22,6,63,9,47
LAP 12,44,33,77,11,55,10,16,3,4,14,5,31,99,18,7,22,6,63,9,47
LAP 13,44,33,77,11,55,10,16,3,4,5,14,31,99,18,7,22,63,6,9,47
LAP 14,44,33,77,11,55,10,3,4,5,14,31,18,99,7,22,63,6,16,9,47
LAP 15,44,33,77,11,55,10,3,4,5,14,31,18,99,7,63,6,16,9,22,47
LAP 16,44,33,77,11,55,10,4,5,14,31,18,99,7,63,6,3,16,9,22,47
LAP 17,44,33,11,77,4,5,14,31,18,99,7,6,55,16,10,3,9,22,63,47
LAP 18,44,11,33,77,4,5,31,18,99,7,16,3,55,10,14,9,22,63,6,47
LAP 19,11,44,33,77,4,5,18,31,99,7,16,3,55,10,14,9,22,63,6,47
LAP 20,11,33,44,77,4,5,18,31,99,7,16,3,55,10,14,22,63,9,6,47
LAP 21,11,33,44,77,4,5,18,31,99,7,16,3,55,10,14,22,63,9,6,47
LAP 22,11,33,44,77,4,5,18,31,99,16,7,3,55,10,14,22,63,9,6,47
LAP 23,11,33,44,77,4,5,18,31,99,16,3,55,10,7,14,22,63,6,9,47
LAP 24,33,44,77,11,5,18,31,16,99,3,55,10,4,7,14,22,63,6,9,47
LAP 25,33,44,77,11,5,18,31,16,3,99,55,10,7,4,14,22,63,6,9,47
LAP 26,33,44,77,11,5,18,16,31,3,55,10,99,4,7,14,22,63,6,9,47
LAP 27,33,44,77,11,5,18,16,3,55,10,4,31,99,14,7,22,63,6,9,47
LAP 28,33,44,77,11,5,18,3,16,55,10,4,14,7,22,63,31,6,99,9,47
LAP 29,33,44,77,11,5,18,3,55,4,16,10,14,7,22,63,6,31,99,9,47
LAP 30,33,44,77,11,5,18,3,55,4,10,16,14,7,22,63,6,31,99,9,47
LAP 31,33,44,77,11,5,18,3,4,55,10,14,16,7,22,63,31,6,99,47,9
LAP 32,44,77,11,33,5,18,3,4,55,10,14,16,7,22,63,31,99,6,47,9
LAP 33,44,77,11,33,5,18,4,3,55,10,14,16,22,63,31,99,6,7,47,9
LAP 34,44,77,11,33,5,4,3,55,10,14,16,22,18,63,31,99,6,7,47,9
LAP 35,44,77,33,11,5,4,3,55,10,14,16,22,63,18,31,99,6,7,47,9
LAP 36,44,77,33,11,5,4,3,10,55,14,16,22,63,18,31,99,6,7,47,9
LAP 37,44,77,33,11,4,3,10,14,55,16,5,22,63,18,31,99,6,7,47,9
LAP 38,44,77,33,11,4,3,10,14,55,5,22,63,18,31,99,16,6,7,47,9
LAP 39,44,77,33,11,4,3,10,14,55,5,22,18,63,31,99,16,7,6,47,9
LAP 40,44,77,33,11,4,3,10,14,55,5,22,18,63,31,99,16,7,6,47,9
LAP 41,44,77,33,11,4,3,10,14,55,5,22,18,63,31,99,16,7,6,47,9
LAP 42,44,77,33,11,4,3,10,14,55,5,18,22,63,31,99,16,7,6,47,9
LAP 43,44,77,33,11,4,3,10,14,55,5,18,22,63,31,99,16,7,6,47,9
LAP 44,44,33,77,11,4,3,10,14,5,55,18,22,63,31,99,16,7,6,47,9
LAP 45,44,33,77,11,4,3,10,14,5,55,18,22,63,31,99,16,7,6,47,9
LAP 46,44,33,77,11,4,3,10,14,5,55,18,22,63,31,99,16,7,6,47,9
LAP 47,44,33,77,11,4,3,10,14,5,55,18,22,63,31,99,16,7,6,47,9
LAP 48,44,33,77,11,4,3,10,14,5,18,55,22,63,31,99,16,7,6,47,9
LAP 49,44,33,11,77,4,3,10,14,5,18,55,22,63,31,99,16,7,6,47,9
LAP 50,44,33,11,77,4,3,10,14,5,18,55,63,22,31,99,16,7,6,47,9
LAP 51,44,33,11,77,4,3,10,14,5,18,55,63,22,31,99,16,7,6,47,9
LAP 52,33,44,11,77,4,3,10,14,5,18,55,63,22,31,99,16,7,6,47,9
LAP 53,33,44,11,77,4,3,10,14,5,18,55,,,,,,,,,
