POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,44,77,33,11,10,4,16,31,14,5,3,18,7,99,55,22,63,6,9,47
LAP 1,44,31,5,55,22,6,14,63,33,7,47,10,9,3,4,99,,,,
LAP 2,44,31,5,55,22,6,14,63,7,47,10,3,33,9,4,99,,,,
LAP 3,31,5,55,22,6,14,63,7,47,10,3,33,44,9,99,,,,,
LAP 4,44,31,5,6,22,55,14,63,7,3,47,33,10,99,,,,,,
LAP 5,31,5,6,22,55,14,63,7,3,47,33,10,99,44,,,,,,
LAP 6,31,5,6,22,55,14,63,7,3,47,33,10,99,44,,,,,,
LAP 7,31,5,6,22,55,14,63,7,3,47,33,10,99,44,,,,,,
LAP 8,31,5,6,22,55,14,63,7,3,47,33,10,99,44,,,,,,
LAP 9,31,5,6,22,55,14,63,7,3,47,33,10,99,44,,,,,,
LAP 10,31,5,6,22,55,14,63,7,3,47,33,10,44,99,,,,,,
LAP 11,31,5,6,22,55,14,63,7,3,47,33,10,44,99,,,,,,
LAP 12,31,5,6,22,55,14,63,7,3,47,33,10,44,99,,,,,,
LAP 13,31,5,6,22,55,14,63,7,3,47,33,10,44,99,,,,,,
LAP 14,31,5,6,22,55,14,63,7,3,33,47,10,44,99,,,,,,
LAP 15,31,5,6,22,55,14,63,3,7,33,10,47,44,99,,,,,,
LAP 16,31,5,6,22,55,14,63,3,33,10,44,47,99,7,,,,,,
LAP 17,31,5,6,22,55,14,63,3,33,10,44,47,99,7,,,,,,
LAP 18,31,5,6,22,55,14,63,3,33,10,44,47,7,99,,,,,,
LAP 19,31,5,6,22,55,14,63,3,33,10,44,47,7,99,,,,,,
LAP 20,31,5,6,22,55,14,63,3,10,33,47,44,7,99,,,,,,
LAP 21,31,5,6,22,55,14,63,10,47,44,3,33,7,99,,,,,,
LAP 22,31,5,6,55,22,14,10,47,44,63,3,33,7,99,,,,,,
LAP 23,31,5,55,6,14,10,22,47,44,63,3,33,7,99,,,,,,
LAP 24,31,5,55,14,10,22,6,44,47,63,3,33,7,99,,,,,,
LAP 25,31,5,55,14,10,22,6,44,47,63,3,33,7,99,,,,,,
LAP 26,31,5,55,14,10,22,6,44,47,63,3,33,7,99,,,,,,
LAP 27,31,5,55,14,10,22,44,6,47,63,3,33,7,99,,,,,,
