POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,44,10,14,4,55,77,33,22,31,5,11,18,16,3,63,7,6,99,47,9
LAP 1,44,14,10,33,4,31,55,22,11,18,77,7,16,99,63,3,5,47,6,9
LAP 2,44,14,10,33,4,31,55,22,11,18,77,7,16,99,63,3,5,47,6,9
LAP 3,44,14,33,10,4,31,55,22,11,18,77,7,16,99,63,3,5,6,47,9
LAP 4,44,14,33,10,4,31,55,22,11,18,77,7,16,99,63,3,5,6,47,9
LAP 5,44,33,14,10,4,31,55,11,22,18,77,7,16,99,63,3,5,6,47,9
LAP 6,44,33,14,10,4,31,55,11,22,18,77,16,7,99,63,3,5,6,47,9
LAP 7,44,33,14,10,4,31,55,11,22,18,77,16,7,99,3,63,5,6,47,9
LAP 8,44,33,14,10,4,31,11,55,22,18,77,16,7,3,99,63,5,6,47,9
LAP 9,44,33,14,10,4,11,31,55,18,77,16,7,3,99,63,5,6,47,9,22
LAP 10,44,33,14,10,4,11,31,55,77,18,16,3,99,63,5,6,47,9,7,22
LAP 11,44,33,14,10,4,11,31,55,77,18,16,3,99,63,5,6,47,9,22,7
LAP 12,44,33,14,4,10,11,31,55,77,18,16,3,99,63,5,6,47,9,22,7
LAP 13,44,33,14,4,11,31,55,77,18,16,3,99,63,5,6,47,10,9,22,7
LAP 14,44,33,14,4,11,31,55,77,18,16,3,99,5,63,6,47,9,10,22,7
LAP 15,44,33,14,4,11,31,77,55,18,16,3,5,63,6,47,9,10,22,7,99
LAP 16,44,33,14,11,4,31,77,55,18,16,3,5,63,6,47,10,9,22,7,99
LAP 17,44,33,14,11,4,77,31,55,18,16,3,5,6,47,10,9,22,7,99,63
LAP 18,44,33,14,11,4,77,31,55,18,16,3,5,10,47,9,22,7,99,6,63
LAP 19,44,33,14,4,77,31,55,18,16,3,11,5,10,47,9,22,7,99,63,6
LAP 20,44,33,14,4,77,31,55,18,16,3,5,11,10,47,9,22,7,99,63,6
LAP 21,44,33,14,4,77,31,55,18,16,3,5,11,10,47,22,9,7,99,63,6
LAP 22,44,33,14,4,77,31,55,18,16,3,5,11,10,22,7,9,99,63,6,47
LAP 23,44,33,77,4,31,55,14,16,3,11,5,10,18,22,7,9,99,63,6,47
LAP 24,44,33,77,4,55,16,14,3,11,5,10,31,18,22,7,99,9,63,6,47
LAP 25,44,33,77,55,16,14,11,3,5,4,10,31,18,22,7,99,9,63,6,47
LAP 26,44,33,77,55,16,14,11,10,4,31,18,22,3,7,5,99,9,63,6,47
LAP 27,44,33,77,14,11,10,4,55,31,18,22,16,7,99,3,5,63,9,6,47
LAP 28,44,33,77,14,11,10,4,31,18,55,22,7,16,99,5,3,63,6,9,47
LAP 29,44,33,77,11,14,10,4,31,18,55,22,7,16,5,99,3,63,6,9,47
LAP 30,44,33,77,11,14,10,4,31,18,55,22,16,5,99,3,63,6,7,9,47
LAP 31,44,33,77,11,14,10,4,31,18,55,22,16,5,99,3,63,6,47,7,9
LAP 32,44,33,77,11,14,10,4,31,18,55,22,16,5,3,63,6,99,47,7,9
LAP 33,44,33,11,14,10,4,31,18,55,22,16,5,77,3,63,6,47,7,99,9
LAP 34,44,33,11,14,10,4,31,18,55,16,5,3,22,77,63,6,7,47,99,9
LAP 35,44,33,11,14,4,31,18,55,16,10,5,3,77,63,6,22,7,47,99,9
LAP 36,44,33,11,14,4,31,18,55,16,5,10,3,77,63,6,22,7,47,99,9
LAP 37,44,33,11,14,4,31,18,55,16,5,10,3,77,63,6,22,7,47,99,9
LAP 38,44,33,11,14,4,31,18,55,16,5,10,3,77,63,6,22,7,47,99,9
LAP 39,44,33,11,14,4,31,18,55,16,5,10,3,77,63,22,6,7,47,99,9
LAP 40,44,33,11,14,4,31,18,55,16,5,10,3,77,63,22,6,7,99,47,9
LAP 41,44,33,14,4,31,11,18,55,16,5,10,3,77,63,22,6,7,99,47,9
LAP 42,44,33,14,4,31,18,11,55,16,5,10,77,3,63,22,7,6,99,47,9
LAP 43,44,33,14,4,31,18,11,55,16,5,10,77,3,63,22,7,6,99,47,9
LAP 44,44,33,14,4,31,18,11,55,16,5,10,77,3,22,63,7,6,99,47,9
LAP 45,44,33,14,4,31,18,11,55,16,5,10,77,3,22,63,7,6,99,47,9
LAP 46,44,33,14,4,31,11,18,55,16,5,10,77,3,22,63,7,6,99,47,9
LAP 47,44,33,14,4,11,31,18,55,16,5,10,77,3,22,63,7,6,99,47,9
LAP 48,44,33,14,4,11,31,18,55,16,5,10,77,3,22,63,7,6,99,47,9
LAP 49,44,33,14,11,31,18,55,16,4,5,10,3,22,7,6,99,47,63,9
LAP 50,44,33,14,11,31,18,55,16,5,10,4,3,22,7,99,6,47,63,9
LAP 51,44,33,14,11,31,18,55,16,5,4,10,3,22,7,99,47,63,9,,,,
LAP 52,44,33,14,11,31,18,55,16,5,4,10,3,22,7,99,47,63,9,,,,
LAP 53,44,33,14,11,31,18,55,16,5,4,10,3,22,7,99,47,63,9,,,,
LAP 54,44,33,14,11,31,18,55,16,4,5,10,3,22,7,99,47,63,9,,,,
LAP 55,44,33,14,11,31,18,55,16,4,5,10,3,22,7,99,47,63,9,,,,
LAP 56,44,33,14,11,31,18,55,16,4,5,10,3,22,7,99,47,,,,,,
LAP 57,44,33,14,11,31,18,55,16,,,,,,,,,,,,
