POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,44,33,77,16,31,55,3,11,4,14,18,10,5,99,63,22,7,47,6,9
LAP 1,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,47,63,22,6,9
LAP 2,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,47,22,63,6,9
LAP 3,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,47,22,63,6,9
LAP 4,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,47,22,63,6,9
LAP 5,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,22,47,63,6,9
LAP 6,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,22,47,63,6,9
LAP 7,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,47,63,6,9,
LAP 8,33,44,16,77,3,11,31,55,4,14,18,5,10,7,99,63,47,6,9,
LAP 9,33,44,16,77,3,11,31,55,4,14,18,5,10,7,63,47,9,6,99,
LAP 10,33,44,16,77,3,11,31,55,4,14,18,5,10,7,47,9,63,6,99,
LAP 11,33,44,16,77,3,11,31,55,4,18,14,5,10,7,47,63,6,9,99,
LAP 12,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,47,6,9,99,
LAP 13,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,47,6,9,99,
LAP 14,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,47,6,9,99,
LAP 15,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,6,47,9,99,
LAP 16,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,6,47,99,9,
LAP 17,33,44,16,77,3,11,31,55,4,18,14,5,10,7,63,6,47,99,9,
LAP 18,33,44,16,77,3,11,31,55,4,18,14,5,7,63,10,6,99,47,9,
LAP 19,33,44,16,77,3,11,31,55,4,18,14,5,7,63,6,99,47,9,10,
LAP 20,33,44,16,77,3,11,31,55,4,18,14,5,7,63,6,99,47,9,10,
LAP 21,33,44,16,77,3,11,31,55,4,18,14,7,5,63,6,99,47,9,10,
LAP 22,33,44,16,77,3,11,31,4,55,18,7,63,6,99,47,14,10,5,9,
LAP 23,33,44,16,77,3,11,31,4,7,63,6,99,55,18,14,47,5,10,9,
LAP 24,44,33,16,3,11,77,7,63,6,99,55,31,4,18,14,5,10,47,9,
LAP 25,44,16,33,11,3,77,7,63,6,99,55,31,4,18,14,5,10,47,9,
LAP 26,44,16,33,11,77,7,63,3,6,55,99,31,4,18,14,5,10,47,9,
LAP 27,44,16,33,77,11,7,3,63,55,31,99,6,4,18,14,5,10,47,9,
LAP 28,44,33,16,77,7,3,11,55,63,31,4,99,18,14,5,10,6,47,9,
LAP 29,33,44,77,16,3,7,11,55,31,4,18,99,14,5,10,63,6,47,9,
LAP 30,33,44,77,16,3,11,7,55,31,4,18,14,5,99,10,63,6,47,9,
LAP 31,33,44,77,16,3,11,55,7,31,4,18,14,5,10,99,63,6,47,9,
LAP 32,33,44,77,16,3,11,55,7,31,4,18,14,5,10,63,99,6,47,9,
LAP 33,33,44,77,16,3,11,55,7,31,4,18,14,5,10,63,99,6,47,9,
LAP 34,33,44,77,16,3,11,55,7,31,4,18,14,5,10,63,99,6,47,9,
LAP 35,33,44,77,16,3,11,55,31,7,4,18,14,5,10,63,99,6,47,9,
LAP 36,33,44,77,16,3,11,55,31,7,4,18,14,5,10,63,99,6,47,9,
LAP 37,33,44,77,16,3,11,55,31,4,18,14,5,7,10,63,6,99,47,9,
LAP 38,33,44,77,16,3,11,55,31,4,18,14,10,5,63,6,99,7,47,9,
LAP 39,33,44,77,16,3,11,55,31,4,14,18,10,63,6,7,5,99,47,9,
