POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,77,33,16,10,14,11,4,18,22,5,44,31,63,47,6,99,7,9,55,3
LAP 1,77,33,16,11,10,4,18,22,44,5,31,99,7,63,47,14,55,3,9,6
LAP 2,77,33,16,11,10,4,18,22,44,5,31,99,7,63,14,55,3,9,47,6
LAP 3,77,33,16,11,10,4,18,22,44,5,31,99,7,63,55,14,3,9,47,6
LAP 4,77,33,16,11,10,4,18,22,44,5,31,99,7,63,55,3,14,9,47,6
LAP 5,77,33,16,11,10,4,18,22,44,5,31,99,7,55,63,3,14,9,47,6
LAP 6,77,33,16,11,10,4,18,22,44,5,31,99,55,7,63,3,14,9,47,6
LAP 7,77,33,16,11,10,4,18,22,44,5,31,55,99,7,63,3,14,9,47,6
LAP 8,77,33,16,11,10,4,18,44,22,5,55,31,99,7,63,3,14,9,6,47
LAP 9,77,33,16,11,10,4,44,18,22,5,55,31,99,7,63,3,14,9,6,47
LAP 10,77,33,16,11,10,44,4,18,22,5,55,31,99,7,63,3,14,9,6,47
LAP 11,77,33,16,11,10,44,4,18,22,5,55,31,99,7,63,3,14,6,9,47
LAP 12,77,33,16,11,10,44,4,18,22,5,55,31,99,7,63,3,14,6,9,47
LAP 13,77,33,16,11,10,44,4,18,22,55,5,31,99,7,63,3,14,6,9,47
LAP 14,77,33,16,11,44,10,4,18,22,55,5,31,99,7,63,3,14,6,9,47
LAP 15,77,33,16,11,44,10,4,18,22,55,5,31,99,7,63,3,14,6,9,47
LAP 16,77,33,16,11,44,10,4,18,22,55,5,31,99,7,63,3,14,6,9,47
LAP 17,77,33,16,11,44,10,4,18,55,22,5,31,99,7,63,3,14,6,9,47
LAP 18,77,33,16,11,44,10,4,18,55,22,5,31,99,7,63,3,14,6,9,47
LAP 19,77,33,16,11,44,10,4,18,55,22,5,31,99,7,63,3,14,6,9,47
LAP 20,77,33,16,11,44,10,4,18,55,22,5,31,99,7,63,3,14,6,9,47
LAP 21,77,33,16,11,44,10,4,18,55,22,5,31,99,7,63,3,14,6,9,47
LAP 22,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 23,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 24,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 25,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 26,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 27,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 28,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 29,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 30,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,14,6,3,9,47
LAP 31,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,6,3,14,9,47
LAP 32,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,6,3,14,9,47
LAP 33,77,33,16,11,44,10,4,18,55,5,31,99,22,7,63,3,6,14,9,47
LAP 34,77,33,16,44,11,10,4,18,55,5,31,99,22,7,63,3,6,14,9,47
LAP 35,77,33,16,11,44,10,18,55,4,5,31,99,7,22,3,63,14,6,47,9
LAP 36,77,33,16,11,44,10,18,55,4,31,5,99,7,3,22,63,14,6,47,9
LAP 37,77,16,33,44,11,10,18,4,31,55,99,3,7,22,63,14,6,5,47,9
LAP 38,16,77,33,44,10,11,18,4,31,55,99,3,7,22,63,14,6,47,5,9
LAP 39,16,77,33,44,10,11,18,4,31,55,99,3,7,22,63,14,6,5,47,9
LAP 40,16,77,33,44,11,10,4,31,55,99,18,3,7,22,63,14,6,5,47,9
LAP 41,16,77,33,44,11,10,4,31,55,18,3,99,7,22,63,14,6,5,47,9
LAP 42,16,77,33,44,11,10,4,31,55,18,3,99,7,22,63,14,6,5,47,9
LAP 43,16,77,33,44,11,10,4,31,55,18,3,99,7,22,63,14,6,5,47,9
LAP 44,16,77,33,44,11,10,4,31,55,18,3,99,7,22,63,14,6,5,47,9
LAP 45,16,77,33,44,11,10,4,31,55,18,3,99,7,22,63,14,6,5,47,9
LAP 46,16,77,33,44,11,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 47,77,16,33,44,11,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 48,77,33,44,16,11,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 49,77,33,44,16,11,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 50,77,33,44,16,11,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 51,77,33,11,16,44,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 52,77,33,11,16,44,10,4,55,31,18,3,99,7,22,63,14,6,5,47,9
LAP 53,77,33,11,16,44,10,4,55,18,31,3,99,7,22,63,14,6,5,47,9
LAP 54,77,33,11,16,44,10,4,55,18,31,3,99,7,22,63,14,6,5,47,9
LAP 55,77,33,11,16,44,10,4,55,18,31,3,99,7,22,63,14,6,5,47,9
LAP 56,77,33,11,16,44,10,4,55,18,31,99,7,3,22,63,14,6,5,47,9
LAP 57,77,33,11,16,44,10,4,55,18,31,99,7,3,22,63,14,6,5,,
LAP 58,77,33,11,16,44,10,4,55,18,,,,,,,,,,,
