POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,33,44,11,16,55,3,4,10,77,7,99,63,5,18,6,47,14,9,22,31
LAP 1,33,44,11,16,3,55,4,22,77,10,99,7,63,31,5,14,47,18,6,9
LAP 2,33,44,11,16,3,55,4,22,77,10,99,7,31,63,5,14,18,47,6,9
LAP 3,33,44,11,16,3,55,4,22,10,77,99,7,31,63,5,14,18,47,6,9
LAP 4,33,11,44,16,3,55,4,22,10,77,99,7,63,5,14,18,47,6,9,31
LAP 5,33,11,44,16,3,55,4,22,10,77,99,7,63,5,14,18,47,9,6,31
LAP 6,33,44,11,16,3,55,4,22,10,77,99,7,63,5,14,18,47,9,6,31
LAP 7,33,44,11,16,3,55,4,22,10,77,99,7,63,5,14,18,47,9,6,31
LAP 8,33,44,11,16,3,55,4,22,10,77,99,7,63,5,18,14,47,6,9,31
LAP 9,33,44,11,16,3,55,4,22,10,77,5,7,63,18,47,99,14,6,31,9
LAP 10,33,44,11,16,3,55,4,22,77,7,5,18,47,63,99,14,6,31,9,10
LAP 11,44,11,33,16,3,55,77,4,10,18,5,22,10,47,99,14,63,6,31,9
LAP 12,44,11,16,77,3,55,7,5,4,18,22,10,99,14,63,6,31,47,9,
LAP 13,44,11,16,77,3,55,7,5,4,18,22,10,99,14,6,63,31,47,9,33
LAP 14,33,11,16,77,3,55,4,5,18,22,99,14,7,63,6,31,47,9,10
LAP 15,33,11,16,77,3,55,4,5,18,22,99,14,7,63,6,31,47,9,
LAP 16,33,44,11,16,3,55,4,5,18,22,77,99,7,14,63,6,31,47,9,
LAP 17,33,44,11,16,3,55,4,5,18,22,77,99,7,14,63,6,31,47,9,
LAP 18,33,44,11,16,3,55,4,22,5,18,77,99,7,14,63,5,6,31,47,9,
LAP 19,33,44,11,16,3,55,4,77,22,7,99,14,63,5,18,6,31,47,9,
LAP 20,33,44,11,16,3,55,4,77,22,7,14,99,63,5,18,6,31,47,9,
LAP 21,33,44,11,16,3,55,4,77,22,7,14,99,63,5,18,6,31,47,9,
LAP 22,33,44,11,16,3,55,4,77,22,7,14,99,63,5,18,6,31,47,9,
LAP 23,33,44,11,16,3,55,4,77,22,7,99,14,63,5,18,6,31,47,9,
LAP 24,33,44,11,16,3,55,4,77,22,7,99,14,63,5,18,6,31,47,9,
LAP 25,33,44,11,16,3,55,4,77,22,7,14,99,5,63,18,6,31,47,9,
LAP 26,33,44,11,16,3,55,4,77,22,7,14,99,5,63,18,6,31,47,9,
LAP 27,33,44,11,16,3,55,4,77,22,7,14,5,63,18,99,47,6,31,9,
LAP 28,33,44,11,16,3,55,4,77,22,7,14,5,63,18,99,47,6,31,9,
LAP 29,33,44,11,16,3,55,4,77,22,7,5,18,63,14,99,47,6,31,9,
LAP 30,44,11,33,16,3,77,4,55,22,7,5,18,63,14,99,47,6,31,9,
LAP 31,44,11,33,16,77,3,55,4,22,7,5,18,63,14,99,47,6,31,9,
LAP 32,44,33,16,11,77,3,55,4,22,5,18,7,14,99,63,47,6,31,9,
LAP 33,44,11,16,77,3,55,4,5,18,22,7,14,99,63,47,6,31,9,
LAP 34,44,11,16,77,3,55,4,5,22,7,18,14,99,63,47,6,31,9,
LAP 35,44,33,11,16,3,55,77,4,5,22,7,14,99,18,63,6,31,47,9,
LAP 36,44,33,11,16,3,55,77,4,5,22,7,14,99,18,63,6,31,47,9,
LAP 37,44,33,11,16,3,55,77,4,5,22,7,14,99,18,63,6,31,47,9,
LAP 38,33,44,11,16,3,55,77,4,22,7,5,14,99,18,63,6,31,47,9,
LAP 39,33,44,11,16,3,55,77,4,22,7,5,99,14,18,63,6,31,47,9,
LAP 40,33,44,11,16,3,55,77,4,22,7,99,5,18,14,63,6,47,31,9,
LAP 41,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 42,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 43,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 44,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 45,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 46,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 47,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 48,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 49,33,44,11,16,3,55,77,4,22,7,99,5,14,18,63,6,47,9,
LAP 50,33,44,11,16,3,55,77,4,22,7,5,99,18,14,63,6,47,9,
LAP 51,33,44,11,16,3,55,77,4,22,7,5,99,18,63,6,47,9,
LAP 52,33,44,11,16,3,55,77,4,22,5,99,7,18,63,6,47,9,
LAP 53,33,44,11,16,3,55,77,4,22,5,99,7,18,63,6,47,9,
LAP 54,33,44,11,16,3,55,77,4,22,5,99,7,18,63,6,47,9,,,
LAP 55,33,44,11,16,3,77,55,4,22,5,99,18,7,63,6,,,,,
LAP 56,33,44,11,16,3,77,55,4,,,,,,,,,,,,
