POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,11,44,55,14,4,10,1,20,22,18,47,5,24,77,3,31,23,6,63
LAP 1,11,16,55,44,4,14,10,5,22,18,20,1,3,47,31,77,6,24,63,23
LAP 2,11,16,55,44,4,14,10,5,22,1,18,20,3,47,31,77,6,63,24,23
LAP 3,11,16,55,44,4,14,10,5,1,22,18,20,3,47,31,77,6,63,24,23
LAP 4,11,16,55,44,4,14,10,5,1,22,18,20,3,47,31,77,63,6,24,23
LAP 5,11,16,55,44,4,14,10,5,1,22,18,20,3,47,31,77,63,6,24,23
LAP 6,11,16,55,44,4,14,10,5,1,22,18,20,3,47,31,77,63,6,24,23
LAP 7,11,16,55,44,4,14,10,5,1,22,18,3,47,31,77,20,63,23,6,
LAP 8,11,16,55,44,4,14,10,5,1,22,18,3,47,31,77,63,23,20,,
LAP 9,11,16,55,44,4,14,10,5,1,22,18,3,47,31,77,63,23,20,,
LAP 10,11,16,55,44,4,14,10,5,1,22,18,3,47,31,77,63,23,20,,
LAP 11,11,16,55,44,4,14,,1,10,5,22,18,3,47,31,77,63,23,20,
LAP 12,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 13,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 14,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 15,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 16,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 17,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 18,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 19,11,16,55,44,4,14,1,10,5,22,18,3,47,31,77,63,23,20,,
LAP 20,11,16,55,44,4,14,,1,10,5,22,18,3,47,31,77,63,23,20,
LAP 21,11,16,55,44,4,,1,10,5,18,3,47,22,31,77,63,23,20,,,
LAP 22,11,16,55,44,4,1,10,5,18,3,47,22,31,77,20,23,63,,,
LAP 23,11,16,55,44,4,1,10,5,18,3,47,22,31,77,20,23,63,,,
LAP 24,11,16,55,44,4,1,10,5,18,3,47,22,31,77,20,23,63,,,
LAP 25,11,16,55,44,4,1,10,5,18,3,47,22,31,77,20,63,23,,,
LAP 26,11,16,55,44,4,1,10,5,18,3,47,22,31,77,20,63,,,,
LAP 27,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 28,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 29,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 30,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 31,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 32,11,16,55,44,4,1,10,5,18,3,47,22,77,20,63,,,,,
LAP 33,11,16,55,,4,44,1,5,18,10,3,47,22,77,20,63,,,,
LAP 34,11,16,55,4,1,44,,18,5,3,47,10,22,77,20,63,,,
LAP 35,11,55,16,4,1,3,18,5,44,10,47,77,20,63,,,,,,
LAP 36,11,16,,4,55,3,1,18,5,44,10,47,77,20,63,,,,,
LAP 37,11,16,55,4,1,3,18,5,44,10,47,77,20,63,,,,,
LAP 38,11,16,55,4,1,3,18,5,44,10,47,77,20,63,,,,,
LAP 39,11,16,55,4,1,3,18,5,44,10,47,77,20,63,,,,,
LAP 40,11,16,55,4,3,18,5,44,10,47,63,77,1,20,,,,,,
LAP 41,11,16,55,4,3,18,5,44,10,77,20,,1,47,63,,,,,
LAP 42,11,16,55,4,3,18,5,44,10,77,20,,1,47,63,,,,,
LAP 43,11,16,55,4,3,18,5,44,10,77,20,,1,47,63,,,,,
LAP 44,11,16,55,4,3,18,5,44,10,77,20,,1,47,63,,,,,
LAP 45,11,16,55,4,3,18,5,44,10,77,20,,1,47,63,,,,,
LAP 46,11,16,55,4,3,18,5,44,10,77,20,,1,63,47,,,,,
LAP 47,11,16,55,4,3,18,5,44,10,77,1,20,63,47,,,,,,
LAP 48,11,16,55,4,3,18,5,44,10,77,1,20,63,47,,,,,,
LAP 49,11,16,55,4,3,18,5,44,10,77,1,20,63,47,,,,,,
LAP 50,11,16,55,4,3,18,5,44,10,1,77,20,63,47,,,,,,
LAP 51,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 52,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 53,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 54,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 55,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 56,11,16,55,4,3,18,5,44,1,10,77,20,47,63,,,,,,
LAP 57,11,16,55,4,3,18,5,1,44,10,77,20,47,63,,,,,,
LAP 58,11,16,55,4,3,18,5,1,44,10,77,20,47,,,,,,,
LAP 59,11,16,55,4,3,18,1,5,44,10,77,20,,,,,,,,
