POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,81,63,4,22,14,27,11,10,44,31,18,23,3,55,20,77,24,2
LAP 1,1,16,81,4,63,22,14,10,44,11,31,18,27,55,3,77,23,24,20,2
LAP 2,1,16,81,4,63,22,14,10,44,11,31,18,55,27,3,77,24,23,20,2
LAP 3,1,16,81,4,63,22,14,10,11,44,31,18,55,27,3,77,24,23,20,2
LAP 4,1,16,4,81,63,22,14,10,11,44,31,18,55,27,3,77,24,23,20,2
LAP 5,1,16,4,81,63,22,14,10,11,44,31,18,55,27,3,77,24,23,2,20
LAP 6,1,16,4,81,63,22,14,10,11,44,31,18,55,27,3,77,24,23,2,20
LAP 7,1,16,4,81,63,22,14,10,11,44,31,18,55,27,77,24,3,23,2,20
LAP 8,1,16,4,81,63,22,14,10,11,44,31,18,55,27,77,24,23,2,3,20
LAP 9,1,16,4,81,63,22,14,10,11,44,31,18,55,27,77,24,23,2,3,20
LAP 10,1,16,4,81,63,22,14,10,11,44,31,18,55,27,77,24,23,2,3,20
LAP 11,1,16,4,63,81,22,14,10,11,44,31,18,55,27,77,24,23,2,3,20
LAP 12,1,16,4,63,81,22,11,14,10,44,31,18,55,27,77,24,23,2,3,20
LAP 13,1,16,4,63,22,81,11,10,44,31,18,55,77,27,23,24,2,14,3,20
LAP 14,1,16,4,63,22,11,10,44,31,18,55,77,23,2,81,14,3,20,27,24
LAP 15,1,16,22,11,10,18,44,31,55,77,23,63,4,81,14,2,3,20,27,24
LAP 16,1,16,22,11,10,18,55,77,63,4,81,23,14,3,44,31,20,27,24,2
LAP 17,16,22,11,18,55,10,1,77,63,4,81,14,3,44,31,27,20,24,23,2
LAP 18,22,18,55,1,16,63,77,4,81,14,3,11,44,31,10,27,20,24,23,2
LAP 19,22,18,1,55,16,63,4,77,81,14,3,11,44,31,10,27,20,24,23,2
LAP 20,22,18,1,55,16,63,4,81,14,77,11,3,44,31,10,27,20,24,23,2
LAP 21,22,1,18,16,55,63,4,81,14,11,77,3,44,31,10,27,20,24,23,2
LAP 22,22,1,16,18,63,55,4,81,14,11,3,77,44,31,10,27,24,23,2,20
LAP 23,1,16,63,4,81,55,14,11,3,44,22,77,31,18,10,27,24,23,2,20
LAP 24,1,16,63,4,81,14,11,3,44,22,31,77,18,10,27,55,24,23,2,20
LAP 25,1,16,63,4,81,11,14,44,3,22,31,18,77,10,27,55,24,23,2,20
LAP 26,1,16,63,4,81,11,14,44,22,3,18,31,10,77,27,55,23,24,2,20
LAP 27,1,16,63,4,81,11,14,44,22,3,18,31,10,77,55,27,23,24,2,20
LAP 28,1,16,63,4,11,81,14,44,22,3,18,31,10,55,77,27,23,24,2,20
LAP 29,1,16,63,4,11,81,14,44,22,18,3,31,10,55,27,77,23,24,2,20
LAP 30,1,16,63,4,11,81,14,44,22,18,3,31,10,55,27,23,24,2,77,20
LAP 31,1,16,63,4,11,81,14,44,22,18,31,3,10,55,27,23,24,2,77,20
LAP 32,1,16,63,4,11,81,14,44,22,18,31,55,10,27,23,24,2,3,77,20
LAP 33,1,16,63,4,11,81,14,44,22,18,31,55,23,27,24,2,3,10,77,20
LAP 34,1,16,63,11,81,14,44,22,18,4,31,55,23,24,2,3,10,27,77,20
LAP 35,1,16,11,81,14,44,22,18,63,4,31,55,23,24,2,3,10,27,77,20
LAP 36,1,11,81,14,22,16,63,18,4,31,55,44,23,24,2,3,10,27,77,20
LAP 37,1,11,22,16,63,4,18,31,55,81,44,14,23,2,24,3,10,27,77,20
LAP 38,1,11,16,22,63,4,18,31,55,81,14,44,23,2,3,10,27,77,20,24
LAP 39,1,11,16,63,22,4,18,81,55,31,14,44,23,3,2,10,27,77,20,24
LAP 40,1,11,16,63,22,4,18,81,55,31,14,44,23,3,10,2,27,77,24,20
LAP 41,1,11,16,63,22,4,18,81,55,31,14,44,23,3,10,2,27,77,24,20
LAP 42,1,11,16,63,4,22,81,18,55,14,31,44,23,3,10,27,77,24,20,2
LAP 43,1,16,63,4,22,11,81,55,14,44,31,18,23,3,10,27,24,77,20,2
LAP 44,1,16,63,4,11,22,81,55,14,44,31,18,3,10,27,24,23,77,20,2
LAP 45,1,16,63,4,11,22,81,55,14,44,31,18,3,10,27,23,24,77,20,2
LAP 46,1,16,63,4,11,22,81,14,55,44,31,18,3,10,27,23,24,77,20,2
LAP 47,1,16,63,4,11,22,81,14,44,55,31,18,3,10,27,23,24,77,2,20
LAP 48,1,16,63,11,4,81,22,14,44,55,31,18,3,10,27,23,24,77,2,20
LAP 49,1,16,63,11,4,81,22,14,44,55,31,18,3,10,23,27,24,77,2,20
LAP 50,1,16,63,11,4,81,22,14,44,55,18,31,3,10,23,27,24,2,77,20
LAP 51,1,16,63,11,4,81,22,14,44,55,18,31,3,10,23,27,24,2,77,20
LAP 52,1,16,63,11,4,81,22,14,44,55,18,3,31,10,23,27,24,2,77,20
LAP 53,1,16,63,11,4,81,22,14,44,55,18,3,31,10,23,27,24,2,77,20
LAP 54,1,16,11,63,4,81,22,14,44,55,18,3,31,10,23,27,24,2,77,20
LAP 55,1,16,11,63,4,81,22,14,44,55,18,3,31,10,23,27,24,2,77,20
LAP 56,1,16,11,63,4,81,14,22,44,18,55,3,31,10,23,27,24,2,77,20
LAP 57,1,16,11,63,4,81,14,22,44,18,3,31,10,23,55,27,2,24,77,20
LAP 58,1,11,16,63,4,81,14,22,44,18,3,31,10,23,27,2,24,,,,
