POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,63,44,14,55,18,16,23,10,27,31,22,4,20,21,81,24,2,77,11
LAP 1,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,24,2,11,77,
LAP 2,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,24,77,11,2,
LAP 3,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,24,77,11,2,
LAP 4,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,24,11,77,2,
LAP 5,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,24,11,77,2,
LAP 6,63,44,1,55,14,23,18,10,27,22,4,20,81,21,31,11,24,77,2,
LAP 7,44,1,14,18,10,27,63,55,22,4,81,21,31,11,24,77,2,20,,
LAP 8,44,1,14,18,10,27,63,22,4,81,55,21,31,11,24,77,2,20,,
LAP 9,44,1,14,18,10,27,63,22,4,81,55,21,11,31,24,2,77,20,,
LAP 10,44,1,14,10,63,18,27,22,4,55,81,24,31,20,2,11,21,77,,
LAP 11,44,1,14,10,63,18,27,22,55,4,81,24,31,20,2,11,21,77,,
LAP 12,1,44,14,10,63,18,27,55,22,4,81,24,31,20,2,11,21,77,,
LAP 13,1,44,14,63,10,18,27,55,22,4,81,24,31,20,11,2,21,77,,
LAP 14,1,44,14,63,10,18,55,27,4,22,81,24,31,20,11,2,21,77,,
LAP 15,1,44,14,63,10,55,18,27,4,22,81,24,31,11,20,2,21,77,,
LAP 16,1,44,14,63,10,55,18,27,4,22,81,31,11,24,20,2,21,77,,
LAP 17,1,44,14,10,55,18,27,4,22,81,31,11,24,20,63,2,21,77,,
LAP 18,1,44,14,10,55,18,27,4,22,81,31,11,24,20,2,77,21,,,
LAP 19,1,44,14,10,55,18,27,4,22,81,31,11,24,20,2,77,21,,,
LAP 20,1,44,14,10,55,18,27,4,22,81,31,11,24,20,2,21,77,,,
LAP 21,1,44,14,10,55,18,27,4,22,81,11,31,24,20,2,21,77,,,
LAP 22,1,44,14,10,55,18,27,4,22,11,81,31,24,20,2,21,77,,,
LAP 23,1,44,14,10,55,18,27,4,11,22,81,31,24,20,2,21,77,,,
LAP 24,1,44,14,10,55,18,27,4,11,22,81,31,24,20,2,21,77,,,
LAP 25,1,44,14,55,10,18,27,4,11,22,81,31,24,20,2,21,77,,,
LAP 26,1,44,14,55,10,18,27,4,11,22,31,81,24,20,2,21,77,,,
LAP 27,1,44,14,55,10,18,27,4,11,31,22,81,24,20,2,77,21,,,
LAP 28,1,44,14,55,10,18,27,4,11,31,22,81,24,20,2,77,21,,,
LAP 29,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 30,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 31,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 32,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 33,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 34,1,44,14,55,10,18,27,4,11,31,81,22,24,20,2,77,21,,,
LAP 35,1,44,14,55,10,18,27,4,11,31,81,24,20,22,77,2,21,,,
LAP 36,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 37,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 38,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 39,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 40,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 41,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 42,1,44,14,55,10,18,27,4,11,31,81,20,24,22,77,21,2,,,
LAP 43,1,44,14,55,10,18,27,11,4,31,81,20,24,22,77,21,2,,,
LAP 44,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,21,2,,,
LAP 45,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 46,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 47,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 48,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 49,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 50,1,44,14,55,10,18,11,27,4,31,81,20,24,22,77,2,21,,,
LAP 51,1,44,14,55,10,18,11,4,27,31,81,20,24,22,77,2,21,,,
LAP 52,1,44,14,55,10,18,11,4,27,31,81,20,24,22,77,2,21,,,
LAP 53,1,44,14,55,10,18,11,4,27,31,81,24,22,77,2,21,,,,
LAP 54,1,44,14,55,10,18,11,4,27,31,81,24,22,77,2,21,,,,
LAP 55,1,44,14,55,10,18,11,4,27,31,81,24,22,77,2,21,,,,
LAP 56,1,44,14,55,10,18,11,4,27,31,81,22,24,77,21,2,,,,
LAP 57,1,44,14,55,18,11,4,27,81,24,22,77,,,,,,,,
LAP 58,1,44,14,55,18,11,4,27,81,24,22,77,,,,,,,,
