POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,11,14,55,20,10,63,16,31,1,77,23,27,44,24,21,4,22,18,81,2
LAP 1,11,14,55,10,63,16,20,77,1,31,27,23,44,81,22,24,18,2,4,21
LAP 2,11,14,55,10,63,16,20,1,77,31,27,23,44,81,22,24,18,4,21,2
LAP 3,11,14,55,10,63,16,20,1,77,31,27,23,44,81,22,24,18,4,21,2
LAP 4,11,14,55,10,63,1,20,16,77,31,27,23,44,81,22,24,18,21,4,2
LAP 5,11,14,55,10,63,1,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 6,11,14,55,10,63,1,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 7,11,14,55,10,63,1,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 8,11,14,55,10,1,63,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 9,11,14,55,1,10,63,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 10,11,14,55,1,63,10,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 11,11,14,55,1,63,10,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 12,11,14,55,1,63,10,20,16,31,77,27,23,44,22,24,18,21,81,4,2
LAP 13,11,14,55,1,63,10,20,16,31,77,27,23,44,22,24,18,21,4,81,2
LAP 14,11,14,1,55,63,10,16,31,77,27,23,20,44,22,24,18,21,4,81,2
LAP 15,11,1,14,55,63,16,31,10,27,44,23,22,24,18,77,20,21,4,81,2
LAP 16,11,1,14,55,63,16,31,27,44,23,22,24,18,10,20,77,4,81,21,2
LAP 17,11,1,14,55,63,31,16,27,44,23,22,24,18,10,20,77,4,81,21,2
LAP 18,11,1,14,55,31,27,44,23,22,24,18,63,10,20,16,77,4,81,21,2
LAP 19,11,1,14,31,27,44,55,23,22,18,24,63,10,20,16,77,4,81,21,2
LAP 20,1,14,11,31,27,55,44,23,22,18,63,24,10,20,16,77,4,81,21,2
LAP 21,1,14,31,11,55,27,44,22,23,18,63,24,10,20,16,77,4,81,21,2
LAP 22,1,14,11,31,55,27,44,22,18,63,10,24,20,23,16,77,4,81,21,2
LAP 23,1,14,11,31,55,44,27,22,18,63,10,24,20,16,77,4,23,81,21,2
LAP 24,1,14,11,31,55,44,27,22,63,18,10,20,24,16,77,4,23,81,21,2
LAP 25,1,11,31,55,14,44,27,22,63,10,18,20,24,16,77,4,23,81,21,2
LAP 26,1,11,31,55,14,44,27,63,22,10,18,20,24,16,77,4,23,81,21,2
LAP 27,1,11,31,14,55,44,27,63,22,10,18,20,16,24,77,23,4,81,21,2
LAP 28,1,11,31,14,55,44,63,27,22,10,18,20,16,24,77,23,4,81,21,2
LAP 29,1,11,14,31,55,44,63,27,22,10,18,20,16,24,77,23,4,81,21,2
LAP 30,1,11,14,55,31,44,63,27,22,10,18,20,16,24,77,23,4,21,81,2
LAP 31,1,11,14,55,31,44,63,27,22,10,18,20,16,77,24,23,4,21,81,2
LAP 32,1,11,14,55,31,63,44,27,22,10,18,20,16,77,23,4,24,21,81,2
LAP 33,1,11,14,31,55,63,44,22,10,18,20,16,27,77,23,4,24,21,81,2
LAP 34,1,11,14,55,31,63,44,22,10,18,20,16,77,23,4,27,24,21,81,2
LAP 35,1,11,14,55,31,63,44,22,10,18,20,16,77,23,4,27,24,21,81,2
LAP 36,1,11,14,55,63,31,44,10,18,22,16,20,77,23,4,27,24,21,81,2
LAP 37,1,11,14,63,55,31,44,10,18,20,16,77,23,22,27,4,24,21,81,2
LAP 38,1,11,14,63,55,31,10,18,16,20,77,44,23,22,27,4,24,21,81,2
LAP 39,1,11,14,63,55,31,10,18,16,20,44,77,23,22,27,4,24,21,81,2
LAP 40,1,11,14,63,55,10,18,16,20,44,31,77,23,22,27,4,24,21,81,2
LAP 41,1,11,14,63,55,10,18,16,20,44,31,77,23,22,27,4,24,21,81,2
LAP 42,1,11,14,63,55,10,16,18,20,44,31,77,23,22,27,4,24,21,81,2
LAP 43,1,11,14,63,55,10,16,20,44,31,77,23,22,27,18,4,24,21,81,2
LAP 44,1,11,14,63,55,10,16,20,44,31,77,23,22,27,18,4,24,21,81,2
LAP 45,1,11,14,63,55,10,16,20,44,31,77,23,22,27,18,4,24,21,81,2
LAP 46,11,1,14,63,55,10,16,44,20,31,77,23,22,27,18,4,24,21,81,2
LAP 47,11,1,14,63,55,10,16,44,31,20,77,22,23,18,27,4,24,21,81,2
LAP 48,1,11,14,63,55,10,16,44,31,20,77,22,23,18,27,24,4,21,81,2
LAP 49,1,11,14,63,55,10,16,44,31,20,77,22,18,23,27,24,4,21,81,2
LAP 50,1,11,14,63,55,10,16,44,31,20,22,77,18,23,27,24,4,21,81,2
LAP 51,1,11,14,63,55,10,16,44,31,20,22,18,77,23,27,24,4,21,81,2
LAP 52,1,11,14,63,55,10,16,44,31,20,22,18,77,23,27,24,4,21,81,2
LAP 53,1,11,14,63,55,16,44,10,31,20,22,18,77,23,27,24,4,21,81,2
LAP 54,1,11,14,63,55,44,16,10,31,20,22,18,77,23,27,24,4,21,81,2
LAP 55,1,11,14,63,55,44,16,10,31,20,22,18,77,23,27,24,4,21,81,2
LAP 56,1,11,14,63,55,44,16,10,31,20,22,18,77,23,27,24,4,21,81,2
LAP 57,1,11,14,63,55,44,16,10,31,20,22,18,77,23,27,24,4,21,,
