POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,18,14,44,4,55,63,11,81,27,20,23,31,10,22,3,77,2,24
LAP 1,1,4,44,14,18,63,11,55,31,81,22,10,77,24,2,3,27,,,,
LAP 2,1,4,44,14,18,63,11,55,31,22,10,77,24,2,27,81,3,,,
LAP 3,1,4,44,14,18,63,11,55,31,22,10,77,24,2,27,81,3,,,
LAP 4,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,81,3,,,
LAP 5,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,81,3,,,
LAP 6,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,81,3,,,
LAP 7,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,81,3,,,
LAP 8,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,81,3,,,
LAP 9,1,4,14,44,63,11,18,55,10,31,22,27,77,24,2,3,81,,,
LAP 10,1,4,14,44,63,11,18,55,10,31,22,77,27,24,2,3,81,,,
LAP 11,1,4,14,44,63,11,18,55,10,31,22,77,27,24,2,3,81,,,
LAP 12,1,4,14,44,63,11,18,55,10,31,22,77,27,24,2,3,81,,,
LAP 13,1,4,14,44,63,11,18,55,10,22,31,77,24,2,27,3,81,,,
LAP 14,1,4,14,44,11,63,18,55,10,22,77,24,2,31,27,3,81,,,
LAP 15,1,4,14,44,11,63,18,55,10,22,77,2,24,27,31,3,81,,,
LAP 16,1,4,14,44,11,63,18,55,10,77,22,2,27,31,24,3,81,,,
LAP 17,1,4,14,44,11,63,18,55,10,77,22,2,27,31,24,3,81,,,
LAP 18,1,4,14,11,63,18,55,10,44,22,77,27,31,24,2,3,81,,,
LAP 19,1,4,14,11,18,55,10,63,22,27,44,31,77,24,2,3,81,,,
LAP 20,1,4,14,18,55,11,10,22,27,44,63,31,77,24,2,3,81,,,
LAP 21,1,4,14,18,55,10,22,44,11,63,27,31,77,24,2,3,81,,,
LAP 22,1,4,14,55,10,18,22,44,11,63,31,77,2,24,27,3,81,,,
LAP 23,1,4,14,55,10,22,11,44,63,18,31,77,2,27,3,81,,,,
LAP 24,1,4,14,55,10,22,11,44,18,63,31,77,2,27,3,81,,,,
LAP 25,1,4,14,55,10,22,11,44,18,63,31,77,2,27,3,81,,,,
LAP 26,1,4,55,14,10,22,11,18,44,63,31,77,2,27,3,81,,,,
LAP 27,1,4,14,11,18,44,63,31,55,77,2,10,22,27,3,81,,,,
LAP 28,1,4,14,11,18,44,63,55,31,77,2,10,22,27,3,81,,,,
LAP 29,1,4,14,11,18,44,63,55,31,77,10,2,22,27,3,81,,,,
LAP 30,1,4,14,11,18,44,63,55,31,77,10,2,22,27,3,81,,,,
LAP 31,1,4,14,11,18,44,63,55,77,10,2,31,22,27,3,81,,,,
LAP 32,1,4,14,11,18,44,63,55,10,77,2,22,27,31,3,81,,,,
LAP 33,1,4,14,11,18,44,63,55,10,77,2,22,27,31,3,81,,,,
LAP 34,1,4,14,11,18,44,55,63,10,77,22,2,27,31,3,81,,,,
LAP 35,1,4,14,11,18,44,55,63,10,77,22,2,27,31,3,81,,,,
LAP 36,1,4,14,11,18,44,55,63,10,22,77,2,27,31,3,81,,,,
LAP 37,1,4,14,11,18,55,44,63,10,22,77,2,27,31,3,81,,,,
LAP 38,1,4,14,11,18,55,44,63,10,22,77,2,31,27,3,81,,,,
LAP 39,1,4,14,11,18,55,44,63,10,22,2,77,31,27,3,81,,,,
LAP 40,1,4,14,11,18,55,44,63,10,22,2,31,27,3,81,,,,,
LAP 41,1,4,14,11,18,55,44,63,10,22,2,31,27,3,81,,,,,
LAP 42,1,4,14,11,18,55,44,63,10,22,2,31,27,3,81,,,,,
LAP 43,1,4,14,11,18,55,44,10,63,22,2,31,27,3,81,,,,,
LAP 44,1,4,14,11,18,55,44,10,63,22,31,2,27,3,81,,,,,
LAP 45,1,4,14,11,18,55,44,10,22,63,31,27,2,3,81,,,,,
LAP 46,1,4,14,11,18,55,44,22,10,31,63,27,2,3,81,,,,,
LAP 47,1,4,14,18,55,22,11,31,44,10,63,2,27,3,81,,,,,
LAP 48,1,4,18,55,14,11,22,44,10,31,63,2,27,3,81,,,,,
LAP 49,1,4,18,55,14,11,22,44,10,31,63,2,27,3,81,,,,,
LAP 50,1,4,18,55,14,11,22,10,44,31,63,2,27,3,81,,,,,
LAP 51,1,4,18,55,14,11,22,10,44,31,63,2,27,3,81,,,,,
LAP 52,1,4,18,14,11,22,55,10,44,63,2,31,27,3,81,,,,,
LAP 53,1,4,14,11,22,18,55,10,44,63,2,31,27,3,81,,,,,
LAP 54,1,4,14,11,22,18,55,10,44,63,31,2,27,3,81,,,,,
LAP 55,1,4,14,11,18,22,55,10,44,63,31,2,27,3,81,,,,,
LAP 56,1,4,14,11,18,55,10,44,63,22,31,2,27,3,81,,,,,
LAP 57,4,1,14,11,18,55,10,44,22,31,2,63,27,3,81,,,,,
LAP 58,4,1,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
LAP 59,4,1,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
LAP 60,1,4,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
LAP 61,1,4,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
LAP 62,1,4,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
LAP 63,1,4,14,11,18,55,10,44,22,31,2,27,3,81,,,,,,
