POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,4,44,55,63,1,10,31,11,81,22,24,77,3,23,2,20,27,14,18
LAP 1,4,16,55,44,1,81,31,63,11,10,24,22,3,23,77,20,2,14,27,18
LAP 2,4,16,55,44,1,81,31,63,11,10,22,24,3,23,77,20,2,14,27,18
LAP 3,4,16,55,44,1,81,63,11,31,10,22,24,3,23,77,20,2,14,27,18
LAP 4,4,16,44,55,1,81,63,11,10,22,24,3,23,77,20,2,14,31,27,18
LAP 5,4,16,44,1,55,81,63,11,10,22,24,3,23,77,20,2,14,27,18,31
LAP 6,4,44,16,1,55,81,63,11,10,22,24,3,23,77,20,2,14,18,27,31
LAP 7,4,44,16,1,55,81,63,11,10,22,24,3,23,77,20,14,2,18,27,
LAP 8,4,44,16,1,55,81,63,11,10,22,24,3,23,77,20,14,2,18,27,
LAP 9,4,44,16,1,55,81,63,11,10,22,24,3,23,77,20,14,2,18,27,
LAP 10,4,44,16,1,55,63,11,10,22,3,23,77,20,14,2,18,27,81,24
LAP 11,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,20,2,,
LAP 12,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,20,2,,
LAP 13,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,2,20,,
LAP 14,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,2,20,,
LAP 15,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,2,20,,
LAP 16,4,44,1,16,55,63,11,10,22,3,14,18,27,24,23,77,2,20,,
LAP 17,4,44,16,55,63,11,10,22,1,3,14,18,27,24,23,77,2,20,,
LAP 18,44,16,63,4,10,1,3,55,14,11,18,27,22,24,23,77,2,20,,
LAP 19,44,16,63,4,1,3,55,11,14,18,10,27,22,24,23,77,2,20,,
LAP 20,44,16,63,4,1,55,3,11,10,18,22,24,23,77,2,14,20,27,,
LAP 21,16,4,63,1,44,55,11,3,10,22,24,23,77,14,2,18,20,27,,
LAP 22,16,4,1,44,55,11,3,63,10,22,24,23,14,77,2,18,20,27,,
LAP 23,16,4,1,44,55,11,63,10,22,14,24,23,77,2,3,18,20,27,,
LAP 24,4,1,44,55,11,16,63,10,22,14,24,23,77,2,3,18,27,20,,
LAP 25,4,1,44,55,11,16,63,10,22,14,23,24,77,2,18,3,27,20,,
LAP 26,4,1,44,55,11,16,63,10,22,14,23,24,77,18,2,3,27,20,,
LAP 27,4,1,44,55,11,16,63,10,22,14,23,77,18,2,3,24,27,20,,
LAP 28,1,4,44,55,11,16,63,10,22,14,23,18,77,2,3,27,20,24,,
LAP 29,1,4,44,55,11,16,63,10,22,14,23,18,2,3,27,20,77,24,,
LAP 30,1,4,44,55,11,16,63,10,22,14,18,2,27,3,23,77,24,20,,
LAP 31,1,4,44,55,11,16,63,10,22,14,18,27,2,3,23,77,24,20,,
LAP 32,1,4,44,55,11,16,63,10,22,14,18,27,2,3,23,77,24,20,,
LAP 33,1,4,44,55,11,16,63,10,22,14,18,27,3,23,77,24,2,20,,
LAP 34,1,4,44,55,11,16,63,10,22,14,18,27,3,23,77,2,24,20,,
LAP 35,1,44,55,11,16,4,63,10,14,18,22,3,23,77,27,2,24,20,,
LAP 36,44,11,16,1,4,63,55,10,14,18,22,3,23,77,27,2,24,20,,
LAP 37,44,11,16,1,4,63,55,10,14,18,22,3,23,27,77,2,24,20,,
LAP 38,44,16,1,4,55,63,11,14,18,10,22,3,23,27,2,77,24,20,,
LAP 39,1,4,16,44,55,63,11,14,18,10,22,3,23,27,2,77,24,20,,
LAP 40,1,4,16,44,55,11,14,18,63,10,22,3,23,27,2,77,24,20,,
LAP 41,1,4,16,44,55,11,14,63,10,22,18,3,23,27,2,77,24,20,,
LAP 42,1,4,16,44,55,11,14,63,10,22,18,23,3,27,2,77,24,20,,
LAP 43,1,4,44,16,55,11,63,10,22,14,18,23,3,27,2,77,24,20,,
LAP 44,1,4,44,16,55,11,63,10,14,22,18,23,3,27,2,77,24,20,,
LAP 45,1,4,44,16,55,11,63,10,14,22,18,23,27,2,3,77,24,20,,
LAP 46,1,4,44,16,55,11,63,10,14,22,18,23,27,2,3,77,24,20,,
LAP 47,1,4,44,16,55,11,63,10,14,18,22,23,27,2,3,77,24,20,,
LAP 48,1,4,44,16,55,11,63,10,18,22,14,23,27,2,77,24,20,3,,
LAP 49,1,44,4,16,55,11,63,10,18,22,14,23,27,2,77,24,20,3,,
LAP 50,1,44,4,55,16,11,63,10,18,22,23,27,2,77,24,20,3,,,
LAP 51,1,44,4,55,16,11,63,10,18,22,23,27,2,77,24,20,3,,,
LAP 52,1,44,4,55,16,11,63,10,18,22,23,2,27,77,24,20,3,,,
LAP 53,1,44,4,55,11,16,63,10,18,22,23,2,27,77,24,20,3,,,
LAP 54,1,44,4,55,11,16,63,10,18,22,23,2,27,77,24,20,3,,,
LAP 55,1,44,4,55,11,16,63,10,18,22,23,2,27,77,24,20,3,,,
LAP 56,1,44,4,55,11,16,63,10,18,22,23,2,27,77,,,,,,,
