POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,4,63,55,44,16,81,11,27,31,3,20,10,22,14,23,18,77,2,24
LAP 1,1,4,63,44,55,11,81,31,27,20,10,3,14,22,23,77,18,16,24,2
LAP 2,1,4,63,44,55,11,81,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 3,1,4,63,44,55,11,81,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 4,1,4,63,44,55,11,81,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 5,1,4,63,44,55,11,81,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 6,1,4,63,55,44,11,81,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 7,1,4,63,55,44,81,11,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 8,1,4,63,55,44,81,11,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 9,1,4,63,55,44,81,11,27,31,20,10,3,22,14,23,18,77,24,16,2
LAP 10,1,4,63,55,44,81,11,27,31,10,22,20,14,3,23,18,77,24,16,2
LAP 11,1,4,63,55,44,81,11,31,10,27,22,23,18,14,77,24,20,3,16,2
LAP 12,1,4,63,55,44,81,11,31,10,22,18,23,77,24,20,27,3,14,16,2
LAP 13,1,4,63,55,44,81,11,31,10,22,18,77,24,27,20,3,14,16,23,2
LAP 14,1,4,63,55,44,81,11,31,10,22,18,77,24,27,20,3,14,23,16,2
LAP 15,1,4,63,55,44,81,11,31,10,22,18,77,24,27,20,3,14,23,16,2
LAP 16,1,4,63,55,44,81,11,31,10,22,18,77,24,27,20,3,14,23,16,2
LAP 17,1,4,63,55,44,81,11,31,10,22,18,77,24,27,20,3,14,23,16,2
LAP 18,1,4,63,55,44,81,11,31,10,22,18,77,27,20,24,3,14,23,16,2
LAP 19,1,4,63,55,44,81,11,10,31,22,18,27,77,20,24,3,14,23,16,2
LAP 20,1,4,63,55,44,81,11,10,22,27,18,20,3,14,24,23,31,77,16,2
LAP 21,1,4,63,55,81,44,11,22,27,20,3,14,23,31,24,10,18,77,16,2
LAP 22,1,4,63,55,81,44,27,20,11,3,14,23,31,10,24,22,18,77,16,2
LAP 23,1,4,81,63,55,44,27,20,11,3,14,31,23,10,24,22,18,77,16,2
LAP 24,81,1,4,63,55,44,27,11,20,3,14,31,23,10,24,22,18,77,16,2
LAP 25,1,81,4,63,55,44,27,11,20,3,14,31,10,23,22,18,24,77,16,2
LAP 26,1,4,63,55,44,81,27,11,20,3,14,31,10,23,22,18,77,24,16,2
LAP 27,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,24,16,2
LAP 28,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 29,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 30,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 31,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 32,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 33,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 34,1,4,63,55,44,81,11,27,20,3,14,31,10,23,22,18,77,16,24,2
LAP 35,1,4,63,55,44,81,11,27,20,3,31,10,23,22,18,14,77,16,24,2
LAP 36,1,4,63,55,44,81,11,27,20,3,31,10,23,22,18,77,16,24,14,2
LAP 37,1,4,63,55,44,81,11,27,20,31,10,3,22,23,18,77,16,14,24,2
LAP 38,1,4,63,55,44,81,11,27,31,20,10,22,23,18,77,3,16,14,24,2
LAP 39,1,4,63,55,44,81,11,27,31,10,22,18,77,23,20,3,16,14,24,2
LAP 40,1,4,63,55,44,81,11,10,31,22,18,77,27,20,3,16,23,14,24,2
LAP 41,1,4,63,55,44,81,11,10,31,22,18,77,27,20,3,16,23,14,24,2
LAP 42,1,4,63,55,44,81,11,31,22,10,18,27,20,77,3,16,23,14,24,2
LAP 43,1,4,63,55,44,81,11,22,31,27,18,20,3,16,10,23,14,77,24,2
LAP 44,1,4,63,55,44,81,11,22,27,20,3,16,10,31,23,18,14,77,24,2
LAP 45,1,4,63,55,44,81,11,27,20,3,16,10,31,23,18,22,14,77,24,2
LAP 46,1,4,55,63,44,81,11,27,20,3,16,10,31,23,18,22,14,77,24,2
LAP 47,1,4,44,81,55,63,11,27,20,3,16,10,31,23,18,22,14,77,24,2
LAP 48,1,4,81,44,63,55,11,27,20,3,16,10,31,23,18,22,14,77,24,2
LAP 49,1,4,81,44,63,55,11,27,20,3,16,10,31,23,18,22,14,77,24,2
LAP 50,1,4,81,44,63,55,11,27,20,3,10,16,31,23,18,22,14,77,24,2
LAP 51,1,4,44,81,63,55,11,27,20,3,10,31,16,23,18,22,14,77,24,2
LAP 52,1,4,44,63,55,81,27,20,3,11,10,31,23,18,22,14,77,16,24,2
LAP 53,1,4,63,44,55,81,27,20,11,3,10,31,23,18,22,14,77,16,24,2
LAP 54,1,4,63,55,81,44,27,20,11,3,10,31,18,23,22,16,77,14,24,2
LAP 55,1,4,63,55,81,44,27,20,11,3,10,31,18,23,22,16,77,14,24,2
LAP 56,1,4,63,55,81,44,27,11,20,3,10,31,18,23,22,16,77,14,24,2
LAP 57,1,4,63,55,81,44,27,11,20,3,10,31,18,23,16,22,77,14,24,2
LAP 58,1,4,63,55,81,44,27,11,20,3,10,31,18,23,16,22,77,14,24,2
LAP 59,1,4,63,55,81,44,27,11,20,3,10,31,18,23,16,22,77,14,24,2
LAP 60,1,4,63,55,81,44,27,11,20,3,10,31,18,16,23,22,77,14,24,2
LAP 61,1,4,63,55,81,44,27,11,20,3,10,31,18,16,23,22,77,14,24,2
LAP 62,1,4,63,55,81,44,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 63,1,4,63,55,81,44,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 64,63,55,81,1,44,4,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 65,63,81,55,44,1,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 66,63,81,55,44,1,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 67,63,81,55,44,1,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 68,63,81,55,44,1,27,11,20,3,10,31,16,18,23,22,77,14,24,2
LAP 69,63,81,55,44,1,27,11,20,3,10,31,16,18,23,22,77,24,14,2
LAP 70,63,81,55,44,1,27,11,20,3,10,16,31,18,23,22,77,24,14,
LAP 71,63,81,55,44,1,27,11,20,3,10,16,31,,,,,,,
