POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,16,63,55,11,14,4,81,44,27,22,18,23,3,20,77,24,2,31,10
LAP 1,1,16,63,11,55,14,4,81,44,22,23,20,24,3,2,31,10,77,18,27
LAP 2,1,16,63,11,55,14,4,81,44,22,23,20,24,2,3,31,10,77,18,27
LAP 3,1,63,16,11,55,4,14,81,44,22,23,20,24,2,3,31,10,77,18,27
LAP 4,1,63,16,11,55,4,14,81,44,22,23,20,24,2,3,31,10,77,18,27
LAP 5,1,63,16,11,55,4,81,14,44,22,23,20,24,2,3,31,10,18,77,27
LAP 6,1,63,16,11,55,4,81,14,44,22,23,20,24,2,3,31,10,18,77,27
LAP 7,1,63,11,16,55,4,81,14,44,22,23,20,24,2,3,31,10,18,77,27
LAP 8,1,63,11,16,55,4,81,14,44,22,23,20,24,2,3,31,10,18,77,27
LAP 9,1,63,11,16,55,4,81,14,44,22,23,20,2,3,31,24,10,77,18,27
LAP 10,1,63,11,16,55,4,81,44,14,22,23,20,3,10,77,31,24,18,27,2
LAP 11,1,11,55,63,4,16,81,44,14,22,23,20,3,10,77,24,18,31,27,2
LAP 12,1,55,11,4,81,14,44,22,23,3,63,10,16,77,24,18,20,31,27,2
LAP 13,1,55,4,14,22,23,63,11,16,3,81,44,24,18,20,31,27,10,77,2
LAP 14,1,55,14,22,23,11,63,16,4,81,44,24,18,20,31,3,27,77,10,2
LAP 15,1,14,11,63,23,16,55,4,81,44,24,18,22,20,31,3,27,77,10,2
LAP 16,1,11,63,16,55,4,81,44,24,14,18,22,20,31,23,3,27,77,10,2
LAP 17,1,11,63,55,16,4,81,44,14,24,22,18,20,23,31,3,27,77,10,2
LAP 18,1,11,55,63,16,4,81,44,14,24,22,18,20,23,31,3,27,77,10,2
LAP 19,1,11,55,63,16,4,81,44,14,24,22,18,20,23,31,3,27,77,10,2
LAP 20,1,11,55,63,16,4,81,44,14,24,22,18,20,23,31,3,77,10,27,2
LAP 21,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 22,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 23,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 24,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 25,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 26,1,11,55,63,16,4,81,44,14,24,22,18,20,23,3,31,77,10,27,2
LAP 27,1,11,55,63,16,4,81,44,14,24,22,20,18,23,3,31,77,10,27,2
LAP 28,1,11,55,63,16,4,81,44,14,22,24,20,23,3,31,77,10,18,27,2
LAP 29,1,11,55,63,16,4,81,44,14,22,20,23,3,31,77,10,24,18,27,2
LAP 30,1,11,55,63,16,4,81,44,14,22,20,23,3,31,10,77,24,18,27,2
LAP 31,1,11,55,16,63,4,81,44,14,22,20,23,3,24,18,10,27,31,77,2
LAP 32,1,11,55,16,4,81,44,14,63,22,23,3,20,24,18,27,31,10,77,2
LAP 33,1,11,55,16,4,81,44,14,63,22,23,3,18,24,27,20,31,10,77,2
LAP 34,1,11,55,16,81,63,14,4,44,22,23,3,18,24,27,20,31,10,77,2
LAP 35,1,11,55,63,14,16,4,44,81,23,3,18,24,27,22,20,31,10,77,2
LAP 36,1,11,55,63,16,4,14,44,81,23,18,24,27,20,22,3,31,10,77,2
LAP 37,1,11,55,63,16,4,14,44,81,18,24,27,20,22,3,23,31,10,77,2
LAP 38,1,11,55,63,16,4,14,44,81,18,24,20,22,27,3,23,31,10,77,2
LAP 39,1,11,55,63,16,4,44,14,81,18,24,20,22,27,3,23,31,10,77,2
LAP 40,1,11,55,63,16,4,44,81,14,18,24,20,22,27,3,23,31,10,77,2
LAP 41,1,11,55,63,16,4,44,81,14,18,24,20,22,3,27,23,31,10,77,2
LAP 42,1,11,55,63,16,4,44,81,18,24,14,20,22,3,23,31,10,27,77,2
LAP 43,1,11,55,63,16,4,44,81,18,24,14,20,22,3,23,31,10,27,77,2
LAP 44,1,11,55,63,16,4,44,81,18,14,24,20,22,3,23,31,27,10,77,2
LAP 45,1,11,55,63,16,4,44,81,18,14,24,20,22,3,23,31,27,10,77,2
LAP 46,1,11,55,16,63,4,44,81,18,14,24,20,22,3,23,31,27,10,77,2
LAP 47,1,11,55,16,63,4,44,81,18,14,24,20,22,3,23,31,27,10,77,2
LAP 48,1,11,55,16,63,4,44,81,14,18,24,20,22,3,23,31,27,10,77,2
LAP 49,1,11,55,16,63,4,44,81,14,18,24,20,22,3,23,31,27,10,77,2
LAP 50,1,11,55,16,63,4,44,81,14,18,24,20,22,3,23,27,31,10,77,2
LAP 51,1,11,55,16,63,4,44,81,14,18,24,20,22,3,23,27,31,10,77,2
LAP 52,1,11,55,16,63,4,44,81,14,18,24,20,3,22,23,27,31,10,77,2
LAP 53,1,11,55,16,63,4,44,81,14,18,24,20,3,22,23,27,31,10,77,2
LAP 54,1,11,55,16,63,4,44,81,14,18,24,20,3,22,23,27,31,10,77,2
LAP 55,1,11,55,16,63,4,44,81,14,18,24,20,3,22,23,27,31,10,77,2
LAP 56,1,11,55,16,63,4,44,81,14,18,24,20,3,22,23,27,31,10,77,
LAP 57,1,11,55,16,63,4,44,81,14,18,,,,,,,,,,
