POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,11,44,4,81,63,55,14,31,23,1,10,3,77,18,27,20,2,24,22
LAP 1,16,44,11,81,63,55,4,14,1,23,31,10,77,3,18,27,20,24,22,2
LAP 2,16,44,11,81,63,55,4,1,14,23,31,10,77,3,18,27,20,24,22,2
LAP 3,44,16,11,81,63,55,4,1,14,23,31,10,77,3,18,27,20,22,2,24
LAP 4,44,16,11,81,63,55,4,1,14,23,31,10,77,3,18,27,20,22,2,24
LAP 5,44,16,11,81,63,55,4,1,14,23,31,10,77,3,18,27,20,22,2,24
LAP 6,44,16,11,81,63,55,4,1,14,23,31,10,77,3,18,27,20,22,2,
LAP 7,44,16,11,81,63,55,4,1,14,23,31,10,77,3,18,20,22,2,27,
LAP 8,44,16,11,81,63,55,4,1,14,31,10,77,23,18,20,22,3,2,27
LAP 9,44,16,11,81,63,55,4,1,14,31,77,18,20,10,22,23,3,27,2
LAP 10,44,16,11,81,55,4,63,1,14,31,77,18,20,22,23,3,27,10,2
LAP 11,16,44,55,4,11,81,14,31,18,63,77,20,1,22,23,3,27,10,2
LAP 12,16,55,4,14,44,11,81,31,63,1,18,20,22,23,3,27,10,77,2
LAP 13,55,4,44,16,81,14,11,63,1,20,22,23,3,27,10,77,31,2,18
LAP 14,55,4,44,16,81,11,63,1,20,22,23,3,14,27,10,31,77,18,2
LAP 15,55,4,44,16,81,11,63,1,20,23,3,14,27,31,10,22,77,18,2
LAP 16,55,44,16,81,11,63,1,4,20,23,3,14,31,27,10,77,18,2,22
LAP 17,55,44,16,81,11,63,1,4,23,3,14,20,31,10,27,77,18,2,22
LAP 18,55,44,16,81,11,63,1,4,23,3,14,31,10,27,77,18,2,20,22
LAP 19,55,44,16,81,11,63,1,4,23,3,14,31,10,77,27,18,2,20,22
LAP 20,44,16,55,81,11,63,1,4,23,3,31,14,10,77,18,27,2,20,22
LAP 21,44,16,81,63,1,4,11,55,23,31,14,10,3,77,18,2,20,22,27
LAP 22,44,16,81,63,1,4,55,11,23,31,14,10,77,18,20,2,3,22,27
LAP 23,44,16,81,63,1,4,55,11,31,14,23,10,77,18,20,3,2,22,27
LAP 24,44,16,81,63,1,4,55,11,31,14,10,77,18,20,3,23,22,27,2
LAP 25,44,81,16,63,1,4,55,11,31,14,10,77,18,20,3,23,22,27,2
LAP 26,44,81,63,1,4,55,16,11,31,14,10,77,18,3,20,23,22,27,2
LAP 27,81,63,1,4,55,44,16,11,31,14,10,77,18,3,23,20,22,27,2
LAP 28,81,63,4,1,44,16,55,11,31,14,77,18,10,3,23,20,22,27,2
LAP 29,81,63,4,44,16,11,1,55,31,14,77,18,3,23,20,22,10,27,2
LAP 30,81,63,44,16,1,11,4,55,31,14,77,18,3,23,20,10,22,27,2
LAP 31,63,44,16,81,1,4,11,55,14,77,18,3,23,31,20,10,22,27,2
LAP 32,63,44,16,81,1,4,11,55,14,77,18,3,31,23,20,10,22,27,2
LAP 33,63,44,16,81,1,4,11,55,14,77,18,3,31,23,20,10,22,27,2
LAP 34,63,44,16,81,1,4,11,55,14,77,18,3,31,23,20,10,22,27,2
LAP 35,63,44,16,81,1,4,11,55,14,18,3,31,23,77,20,10,22,27,2
LAP 36,63,44,81,16,1,4,11,55,14,18,3,31,23,20,10,22,77,27,2
LAP 37,63,44,81,16,1,4,11,55,14,3,18,31,23,20,10,77,22,27,2
LAP 38,63,44,81,16,1,4,11,55,14,3,31,18,23,20,10,77,22,27,2
LAP 39,63,44,81,16,1,4,55,11,14,3,31,18,23,20,10,77,22,27,2
LAP 40,63,44,81,16,1,4,55,11,14,3,31,18,23,20,10,77,22,27,2
LAP 41,63,44,81,16,1,4,55,11,14,31,3,18,23,10,20,77,22,27,2
LAP 42,63,44,81,16,1,4,55,11,14,31,3,18,23,10,20,77,22,27,2
LAP 43,63,44,81,16,1,4,55,11,14,31,3,18,23,10,20,77,22,2,27
LAP 44,63,44,81,16,1,4,55,11,14,31,3,18,23,10,20,77,22,2,27
