POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,11,14,4,81,16,55,63,27,77,18,3,31,23,10,24,20,44,22,2
LAP 1,1,14,11,4,81,63,16,27,55,18,77,31,23,10,3,22,24,20,44,2
LAP 2,1,14,11,4,81,63,16,55,18,27,77,31,23,10,3,22,20,24,44,2
LAP 3,1,14,11,4,81,63,16,55,18,27,77,31,23,10,3,22,20,44,24,2
LAP 4,1,14,11,4,81,63,16,55,18,27,77,31,23,10,3,22,44,20,24,2
LAP 5,1,11,14,4,81,63,16,55,18,27,77,31,23,10,3,22,44,20,24,2
LAP 6,1,11,14,4,81,63,16,55,18,27,77,31,23,10,3,22,44,20,24,2
LAP 7,1,11,4,14,81,63,16,55,18,77,27,31,23,10,3,22,44,20,24,2
LAP 8,1,11,4,14,81,63,16,55,18,77,31,23,10,3,27,44,20,2,22,24
LAP 9,1,11,4,14,81,16,63,55,18,10,77,3,31,23,20,2,44,27,22,24
LAP 10,1,11,4,14,81,16,63,55,10,3,20,2,18,27,77,31,22,23,44,24
LAP 11,1,11,4,16,81,55,14,63,3,20,10,2,18,27,77,31,22,44,23,24
LAP 12,1,11,4,16,81,55,3,20,14,63,18,2,27,77,31,22,44,23,24,10
LAP 13,1,4,11,16,81,55,3,14,63,20,18,27,77,31,44,22,23,24,2,10
LAP 14,4,16,1,81,55,11,14,63,3,20,18,27,77,31,44,22,23,24,2,10
LAP 15,4,16,1,81,55,11,14,63,18,20,27,77,31,44,22,23,24,3,2,10
LAP 16,4,1,16,55,11,81,14,63,18,20,27,77,31,44,22,23,3,24,2,10
LAP 17,4,1,16,11,55,14,63,18,81,27,77,31,44,20,22,3,23,24,2,10
LAP 18,4,1,16,11,14,63,81,18,55,27,77,31,44,22,3,23,24,2,10,20
LAP 19,1,4,16,11,14,63,81,18,55,27,77,31,44,3,22,23,24,2,10,20
LAP 20,1,4,16,11,14,63,81,18,55,27,31,44,3,22,23,24,2,10,20
LAP 21,1,4,11,16,14,63,81,55,18,27,31,3,22,44,23,24,2,10,20
LAP 22,1,4,11,14,16,63,81,55,27,31,3,22,18,23,24,2,44,10,20
LAP 23,1,11,4,16,14,81,63,55,27,3,31,18,22,23,2,24,44,20,10
LAP 24,1,4,16,11,81,55,14,63,3,18,27,2,31,44,20,22,23,24,10
LAP 25,1,4,16,11,55,14,63,81,3,18,27,31,44,20,22,23,2,24,10
LAP 26,1,4,16,11,55,14,63,81,27,3,31,44,20,22,23,2,24,10,18
LAP 27,1,4,16,11,14,55,63,81,27,3,44,31,23,2,24,10,20,18,,
LAP 28,1,4,16,11,14,55,63,81,3,27,44,31,23,2,24,10,20,18,,
LAP 29,1,4,16,11,14,55,63,81,3,27,44,31,23,2,24,10,20,18,,
LAP 30,1,4,16,11,14,55,63,81,3,27,44,31,23,2,24,10,20,18,,
LAP 31,1,4,16,11,14,55,63,81,3,27,44,31,23,2,24,10,20,18,,
LAP 32,1,4,16,11,14,55,63,81,27,44,31,3,23,2,24,10,20,18,,
LAP 33,1,4,16,11,14,55,63,81,27,44,31,23,2,10,24,20,18,3,
LAP 34,1,4,16,11,14,55,63,81,27,44,31,23,2,10,24,18,20,,,
LAP 35,1,4,16,11,14,55,63,81,27,44,31,23,2,10,24,20,18,,,
LAP 36,1,4,16,11,14,55,63,81,27,44,31,23,2,10,24,20,18,,,
LAP 37,1,4,16,11,14,55,63,81,27,44,31,23,10,2,24,20,18,,,
LAP 38,1,4,16,11,14,55,63,81,27,44,31,23,24,2,20,10,18,,,
LAP 39,1,4,11,16,14,55,63,81,27,44,31,23,24,2,20,10,18,,,
LAP 40,1,4,11,16,14,55,63,81,27,44,31,23,2,20,24,10,18,,,
LAP 41,1,4,11,16,14,55,63,81,44,27,31,23,2,20,10,24,18,,,
LAP 42,1,4,11,16,14,55,63,81,44,27,31,23,2,20,10,24,18,,,
LAP 43,1,4,11,16,55,63,14,81,44,27,31,23,20,2,10,24,18,,,
LAP 44,1,4,11,16,55,63,81,44,27,31,23,14,20,2,10,24,18,,,
LAP 45,1,4,11,16,55,63,81,44,27,31,14,23,20,2,10,24,18,,,
LAP 46,1,4,11,16,55,63,81,44,27,14,31,23,20,2,10,24,18,,,
LAP 47,1,4,11,16,55,63,81,44,14,27,31,23,20,2,10,24,18,,,
LAP 48,1,4,11,16,55,63,81,44,14,27,31,23,20,10,2,24,18,,,
LAP 49,1,4,11,16,55,63,14,81,44,27,31,23,20,10,24,2,18,,,
LAP 50,1,4,11,16,55,63,14,81,44,27,31,23,20,10,24,2,18,,,
LAP 51,1,4,11,16,55,63,14,81,44,27,31,23,20,10,24,2,18,,,
LAP 52,1,4,11,16,55,63,14,81,44,27,31,23,20,10,24,2,18,,,
LAP 53,1,4,11,16,55,63,14,81,44,27,31,23,10,24,20,2,18,,,
LAP 54,1,4,11,16,55,63,14,81,44,27,31,23,10,24,20,2,18,,,
LAP 55,1,4,11,16,55,63,14,81,44,27,31,23,10,24,20,18,2,,,
LAP 56,1,4,11,16,55,63,14,81,44,27,31,23,10,24,20,18,2,,,
