POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,4,1,81,63,11,16,14,18,10,55,22,27,3,44,31,77,24,2,23,20
LAP 1,1,4,63,81,16,11,10,14,55,18,27,22,44,77,3,31,23,2,24,20
LAP 2,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,20,24
LAP 3,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,24,20
LAP 4,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,24,20
LAP 5,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,24,20
LAP 6,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,24,20
LAP 7,1,4,63,81,16,11,10,14,55,18,27,44,22,77,3,31,23,2,24,20
LAP 8,1,4,63,81,16,11,10,55,14,18,27,44,22,77,3,31,23,2,20,24
LAP 9,1,4,63,81,16,11,10,55,14,18,27,44,22,77,3,31,23,2,20,24
LAP 10,1,4,63,81,16,11,10,55,14,18,44,27,22,77,3,31,23,2,20,24
LAP 11,1,4,63,81,16,11,55,10,14,18,44,27,22,77,3,31,23,2,20,24
LAP 12,1,4,63,81,16,11,55,10,14,18,44,27,22,77,3,31,2,23,20,24
LAP 13,1,4,63,81,16,11,55,10,14,18,44,27,22,77,3,31,2,20,24,23
LAP 14,1,4,63,81,16,11,55,10,14,44,18,27,22,77,3,31,2,20,24,23
LAP 15,1,4,63,81,16,11,55,10,14,44,18,3,31,2,20,77,24,27,22,23
LAP 16,1,4,63,81,16,11,55,10,44,14,18,3,31,2,20,24,27,22,23,77
LAP 17,1,4,63,81,16,11,55,10,44,14,18,3,31,20,2,24,27,22,23,77
LAP 18,4,1,63,81,16,11,55,10,44,14,18,3,31,20,2,27,22,23,24,77
LAP 19,4,1,63,81,16,11,55,10,44,14,18,3,31,20,2,27,22,23,77,24
LAP 20,4,1,63,81,16,11,55,10,44,14,18,3,31,20,2,27,22,23,77,24
LAP 21,4,1,63,81,16,11,55,10,44,14,18,3,31,20,2,27,22,23,77,24
LAP 22,4,1,63,81,16,11,55,10,44,14,18,3,20,31,27,22,2,23,77,24
LAP 23,4,1,63,81,16,11,55,10,44,14,18,3,20,31,27,22,23,77,2,24
LAP 24,4,1,63,81,16,11,55,10,14,18,3,20,31,27,22,44,23,77,2,24
LAP 25,4,1,81,63,11,55,10,16,14,18,3,20,27,31,44,22,23,77,2,24
LAP 26,4,1,81,11,55,10,16,63,14,18,3,20,27,31,44,22,23,77,2,24
LAP 27,4,1,81,11,55,10,16,63,14,18,3,20,27,44,31,22,23,77,2,24
LAP 28,4,81,11,55,1,16,10,63,14,18,3,20,27,44,31,22,23,77,2,24
LAP 29,81,55,11,4,1,16,63,10,14,18,20,44,27,3,31,22,23,77,2,24
LAP 30,81,4,55,1,16,63,10,14,11,44,18,20,27,22,23,31,77,3,2,24
LAP 31,81,4,1,16,63,10,11,55,14,44,20,27,22,23,77,18,3,2,31,24
LAP 32,81,4,1,16,63,11,10,55,44,27,20,23,22,14,77,18,3,2,31,24
LAP 33,4,81,1,16,63,11,55,44,27,20,23,10,14,18,77,3,2,31,22,24
LAP 34,4,1,16,63,81,11,55,44,27,20,23,10,14,18,77,3,2,31,22,24
LAP 35,4,1,16,63,81,11,55,44,27,20,23,10,14,18,77,3,2,31,22,24
LAP 36,4,1,16,63,81,11,55,44,27,20,23,10,14,18,3,77,2,31,22,24
LAP 37,4,1,16,63,81,11,55,44,27,20,23,10,14,18,3,77,2,31,22,24
LAP 38,4,1,16,63,81,11,55,44,27,20,23,10,14,18,3,77,2,31,22,24
LAP 39,4,1,16,63,81,11,55,44,27,23,10,14,20,18,3,77,2,31,22,24
LAP 40,4,1,16,81,63,11,55,44,27,10,23,14,18,3,20,77,2,31,22,24
LAP 41,4,1,16,81,63,11,55,44,27,10,14,23,18,3,77,31,2,22,20,24
LAP 42,4,1,16,81,63,11,55,44,27,10,14,23,18,3,77,31,2,22,20,24
LAP 43,4,1,16,81,63,11,55,44,27,10,14,18,23,3,31,2,22,77,20,24
LAP 44,4,1,16,81,63,11,55,44,27,10,14,18,23,3,31,2,22,20,77,24
LAP 45,4,1,16,81,63,11,55,44,27,10,14,18,23,3,31,2,22,20,77,24
LAP 46,4,1,16,81,63,11,55,44,27,10,14,18,3,23,31,2,22,20,77,24
LAP 47,4,1,16,81,63,55,11,44,27,10,14,18,3,23,31,2,22,20,77,24
LAP 48,4,1,16,81,63,55,11,44,27,10,14,18,3,23,31,2,22,20,77,24
LAP 49,4,1,16,81,63,55,11,44,27,10,14,18,3,23,31,2,22,20,77,24
LAP 50,4,1,16,81,63,55,11,44,27,10,14,18,3,23,31,2,22,20,77,24
