POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,4,16,55,81,63,22,44,3,27,11,31,18,23,10,77,24,20,2,14
LAP 1,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 2,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 3,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 4,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 5,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 6,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 7,1,4,16,55,81,63,44,27,22,11,3,31,18,23,10,20,77,24,2,14
LAP 8,1,4,16,55,81,63,44,27,22,11,3,31,18,20,23,24,2,10,77,14
LAP 9,1,4,16,55,81,63,44,27,22,11,3,31,18,20,24,2,10,77,14,23
LAP 10,1,4,16,55,81,63,44,27,22,11,3,18,31,20,24,2,10,77,14,23
LAP 11,1,4,16,55,81,63,44,27,22,11,18,31,3,20,24,2,10,77,14,23
LAP 12,1,4,16,55,81,63,44,27,11,18,22,31,20,24,2,3,10,77,14,23
LAP 13,1,4,16,55,81,63,44,11,27,18,31,20,24,2,22,3,10,77,14,23
LAP 14,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 15,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 16,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 17,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 18,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 19,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 20,1,4,16,55,81,63,44,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 21,1,4,16,55,81,44,63,11,18,31,20,24,2,22,27,3,10,77,14,23
LAP 22,1,16,4,55,81,44,11,18,31,63,20,24,2,22,27,3,10,77,14,23
LAP 23,1,16,55,4,81,44,11,18,63,31,20,24,2,22,27,3,10,77,14,23
LAP 24,1,16,55,44,4,11,18,81,63,31,20,24,2,22,27,3,10,77,14,23
LAP 25,55,16,44,1,4,11,81,18,63,20,31,24,2,22,27,3,10,77,14,23
LAP 26,55,44,1,4,11,16,81,18,63,20,24,22,27,2,3,10,77,14,31,23
LAP 27,55,1,44,4,16,81,11,63,18,20,24,22,27,2,3,10,77,14,31,23
LAP 28,1,4,16,81,11,55,63,18,44,20,24,22,27,2,3,10,77,14,31,23
LAP 29,1,4,16,81,11,55,63,18,44,20,24,22,27,2,3,10,77,14,31,23
LAP 30,1,4,16,81,55,11,63,18,44,20,24,22,27,2,3,77,10,14,31,23
LAP 31,1,4,16,81,55,63,11,44,18,20,24,22,27,3,77,2,14,31,10,23
LAP 32,1,4,16,81,55,63,11,44,18,20,24,22,27,3,77,14,31,10,2,23
LAP 33,1,4,16,81,55,63,11,44,18,20,22,27,3,24,77,14,31,10,2,23
LAP 34,1,4,16,81,55,63,11,44,18,20,22,27,3,77,14,31,24,10,2,23
LAP 35,1,4,16,81,55,63,11,44,18,20,22,27,3,77,14,31,24,10,2,23
LAP 36,1,4,16,81,55,63,11,44,18,20,22,27,3,77,14,31,24,10,2,23
LAP 37,1,4,16,81,55,63,44,11,18,22,27,20,3,77,31,14,24,10,2,23
LAP 38,1,4,16,81,55,63,44,22,27,3,11,77,18,31,14,24,20,10,2,23
LAP 39,1,4,16,81,55,63,44,22,27,11,3,77,18,31,14,24,20,10,2,23
LAP 40,1,4,16,81,55,63,44,22,11,27,3,18,77,31,14,24,20,10,2,23
LAP 41,1,4,16,81,55,63,44,22,11,27,3,18,77,31,24,20,10,2,14,23
LAP 42,1,4,16,81,55,63,44,11,22,27,3,18,77,31,24,20,10,2,14,23
LAP 43,1,4,16,81,55,63,44,11,22,27,18,3,77,31,24,20,10,2,14,23
LAP 44,1,4,16,81,55,63,44,11,22,27,18,3,77,31,24,20,10,2,14,23
LAP 45,1,4,16,81,55,63,44,11,22,27,18,3,77,31,24,20,10,2,14,23
LAP 46,1,4,16,81,55,63,44,11,22,18,27,3,77,31,24,20,10,2,14,23
LAP 47,1,4,16,81,55,63,44,11,22,18,27,3,77,31,24,20,10,2,14,23
LAP 48,1,4,16,81,55,63,44,11,22,18,27,3,77,31,20,24,10,2,14,23
LAP 49,1,4,16,81,55,63,44,11,22,18,27,3,77,31,20,24,10,2,14,23
LAP 50,1,4,16,81,55,63,44,11,18,22,27,3,77,20,31,24,10,2,14,23
LAP 51,1,4,16,81,55,63,44,11,18,22,27,3,20,77,31,24,10,2,14,23
LAP 52,1,4,16,81,55,44,63,11,18,22,27,3,20,77,31,24,10,14,2,
LAP 53,1,4,16,81,55,44,63,11,18,22,27,3,20,77,31,24,10,14,2,
