POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,16,81,55,4,63,1,44,22,23,10,31,3,18,14,2,11,77,24,27,20
LAP 1,16,81,55,4,63,1,44,22,23,10,18,3,14,2,77,24,,,,
LAP 2,16,81,55,4,63,1,44,22,23,10,18,3,14,2,77,24,,,,
LAP 3,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 4,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 5,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 6,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 7,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 8,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 9,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 10,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 11,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 12,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 13,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 14,16,81,55,4,63,1,44,22,23,10,18,14,3,77,2,24,,,,
LAP 15,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 16,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 17,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 18,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 19,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 20,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 21,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 22,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 23,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 24,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 25,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 26,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 27,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 28,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 29,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 30,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 31,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
LAP 32,16,81,55,4,63,1,44,22,23,10,18,14,3,2,24,77,,,,
