POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,4,81,16,63,12,6,44,23,87,10,14,30,22,55,27,5,31,7,18
LAP 1,1,4,81,16,63,12,6,44,23,87,14,10,22,30,27,55,31,7,18,5
LAP 2,1,4,81,16,63,12,6,44,23,87,14,10,22,30,55,27,31,7,18,5
LAP 3,1,4,81,16,63,12,6,44,23,87,14,10,22,30,55,27,31,7,18,5
LAP 4,1,4,81,16,63,12,6,44,23,87,14,10,22,30,55,27,31,7,18,5
LAP 5,1,4,81,16,63,12,6,44,23,87,14,10,22,30,55,27,31,7,18,5
LAP 6,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,18,5
LAP 7,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,18,5
LAP 8,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,18,5
LAP 9,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 10,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 11,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 12,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 13,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 14,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,7,5,18
LAP 15,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,5,7,18
LAP 16,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,5,7,18
LAP 17,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,5,7,18
LAP 18,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,5,7,18
LAP 19,1,4,81,16,63,12,44,6,23,87,14,10,22,30,55,27,31,5,7,18
LAP 20,1,4,81,16,12,44,6,23,87,14,10,22,63,30,55,27,31,5,7,18
LAP 21,1,4,16,12,44,6,23,87,81,14,10,63,22,30,55,27,31,5,7,18
LAP 22,12,44,6,23,1,4,81,87,14,16,63,10,22,30,55,31,27,5,7,18
LAP 23,12,44,6,23,1,4,81,14,87,16,63,10,22,30,55,31,5,7,27,18
LAP 24,12,44,6,1,4,81,23,16,63,14,10,30,55,31,5,87,22,7,27,18
LAP 25,12,44,1,6,4,81,16,63,30,55,31,5,23,87,14,22,7,10,27,18
LAP 26,12,44,1,4,81,16,63,30,55,6,31,5,23,87,14,22,7,10,27,18
LAP 27,12,44,1,4,81,16,63,30,55,6,31,5,23,87,14,22,7,10,27,18
LAP 28,12,44,1,4,81,16,63,30,55,6,31,23,5,87,14,22,7,10,27,18
LAP 29,12,44,1,4,81,16,63,30,55,6,23,31,5,87,14,22,7,10,27,18
LAP 30,12,1,4,44,81,16,63,30,6,23,55,31,5,87,14,22,7,10,27,18
LAP 31,12,1,4,81,16,63,44,6,30,23,55,31,87,5,14,22,7,10,27,18
LAP 32,1,4,81,16,63,12,44,6,23,30,55,87,31,14,22,7,10,27,5,18
LAP 33,1,4,81,16,63,12,44,6,23,30,87,55,14,22,10,7,27,31,5,18
LAP 34,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,30,55,31,5,18
LAP 35,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,30,55,31,5,18
LAP 36,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 37,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 38,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 39,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 40,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 41,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 42,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 43,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 44,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 45,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 46,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 47,1,4,81,16,63,12,44,6,23,87,14,22,10,7,27,55,30,31,5,18
LAP 48,1,4,81,16,63,12,44,6,23,87,14,22,10,7,55,27,30,31,5,18
LAP 49,1,4,81,16,63,12,44,6,23,87,14,22,10,7,55,27,30,31,5,18
LAP 50,1,4,81,16,63,12,44,6,23,87,14,22,10,55,7,27,30,31,5,18
LAP 51,1,4,81,16,63,12,44,6,23,87,14,22,10,55,7,27,30,31,5,18
LAP 52,1,4,81,16,63,12,44,6,23,87,14,22,10,55,7,27,30,31,5,18
LAP 53,1,4,81,16,63,12,44,6,23,87,14,22,10,55,7,27,30,31,5
