POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GRID,1,81,63,16,12,55,44,22,10,4,23,30,14,6,87,18,7,27,31,5
LAP 1,1,81,63,16,12,44,55,4,23,14,6,30,87,18,27,7,31,5,22,
LAP 2,1,81,63,16,12,44,55,4,23,14,6,30,87,18,27,7,31,5,,
LAP 3,1,81,63,16,12,44,55,4,23,14,6,30,87,18,27,7,31,5,,
LAP 4,1,81,63,16,12,44,55,4,23,6,14,30,87,18,27,7,31,5,,
LAP 5,1,81,63,16,12,44,55,4,23,6,14,30,87,18,27,7,31,5,,
LAP 6,1,81,63,16,12,44,55,4,23,6,14,30,87,18,27,7,31,5,,
LAP 7,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 8,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 9,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 10,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 11,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 12,1,81,63,16,12,4,44,55,23,6,14,30,87,18,27,7,31,5,,
LAP 13,1,81,63,16,12,4,44,55,23,6,14,30,87,18,27,7,31,5,,
LAP 14,1,81,63,16,12,44,4,55,23,6,14,30,87,18,27,7,31,5,,
LAP 15,1,81,63,16,12,4,44,55,23,6,30,14,87,18,27,7,31,5,,
LAP 16,1,81,63,16,12,4,44,55,23,6,30,14,87,18,27,7,31,5,,
LAP 17,1,81,63,16,12,4,44,55,23,6,30,14,87,18,27,7,31,5,,
LAP 18,1,81,63,16,12,4,44,55,23,6,30,14,18,87,27,7,31,5,,
LAP 19,1,81,63,16,4,44,12,55,23,6,30,14,18,27,7,31,5,87,,
LAP 20,1,16,63,4,44,81,55,23,6,30,12,18,27,7,31,5,14,87,,
LAP 21,1,16,4,81,44,63,55,23,6,12,18,27,31,7,5,30,14,87,,
LAP 22,16,4,81,44,1,63,6,23,12,18,27,31,7,55,5,30,14,87,,
LAP 23,16,4,81,1,63,44,6,12,18,27,31,7,55,23,5,30,14,87,,
LAP 24,16,4,81,1,63,6,12,44,18,27,31,55,7,23,5,30,14,87,,
LAP 25,16,4,81,1,63,6,12,44,18,27,31,55,23,7,30,5,14,87,,
LAP 26,16,4,81,1,63,6,12,44,18,27,55,31,23,7,30,14,5,87,,
LAP 27,16,4,81,1,63,6,12,44,18,27,55,31,23,7,30,14,87,5,,
LAP 28,16,4,81,1,63,6,12,44,18,55,27,23,31,30,7,14,87,5,,
LAP 29,16,4,81,1,63,6,12,44,18,55,23,27,31,30,14,7,87,5,,
LAP 30,4,81,1,63,16,12,6,44,18,55,23,27,31,30,14,7,87,5,,
LAP 31,4,81,1,63,16,12,6,44,55,23,18,27,31,30,14,87,7,5,,
LAP 32,4,81,1,63,16,12,6,44,55,23,18,27,31,30,14,87,5,7,,
LAP 33,4,81,1,63,16,12,6,44,55,23,18,30,31,14,27,87,5,7,,
LAP 34,81,4,1,63,16,12,44,6,55,23,18,30,14,31,87,5,27,7,,
LAP 35,81,1,63,16,4,12,44,55,23,6,18,30,14,31,87,5,27,7,,
LAP 36,81,1,63,16,4,12,44,55,23,6,18,30,14,31,87,5,27,7,,
LAP 37,81,1,63,16,4,12,44,55,23,6,30,18,14,31,87,5,27,7,,
LAP 38,81,1,16,63,4,12,44,55,23,6,30,18,14,31,87,5,27,7,,
LAP 39,81,1,16,63,4,12,44,55,23,6,30,14,31,87,18,5,27,7,,
LAP 40,81,1,16,63,4,12,44,55,23,6,30,14,87,31,5,27,18,7,,
LAP 41,81,1,16,4,63,12,44,55,23,6,30,14,87,31,5,27,18,7,,
LAP 42,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,5,18,7,,
LAP 43,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,5,18,7,,
LAP 44,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,5,18,7,,
LAP 45,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,5,18,7,,
LAP 46,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,18,5,7,,
LAP 47,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,18,5,7,,
LAP 48,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,18,5,7,,
LAP 49,81,1,16,4,63,12,44,55,23,6,30,14,87,31,27,18,7,5,,
LAP 50,81,1,16,4,63,12,44,55,23,6,30,14,87,31,,,,,,
